,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.queryString.name,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.wait,timings.send,timings.dns,timings.ssl,timings.blocked,timings.connect,timings.receive,serverIPAddress,comment,time,response._error
22,,2019-10-09T17:39:13.835+03:00,GET,https://code.jquery.com/ui/1.11.4/themes/smoothness/jquery-ui.css,HTTP/1.1,,395,0,,200,OK,HTTP/1.1,0,text/css,,,453,8056,,,206,0,0,115,0,161,6,209.197.3.24,,375,
23,,2019-10-09T17:39:16.564+03:00,GET,https://www.onread.com/font/font-awesome/font-awesome.css?v=1465990458,HTTP/1.1,value,918,0,,200,OK,HTTP/1.1,0,text/css,,,516,6203,,,131,0,-1,-1,-1,-1,4,104.24.119.116,,136,
24,,2019-10-09T17:39:16.715+03:00,GET,https://ssl.google-analytics.com/ga.js,HTTP/1.1,,353,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17168,,,108,0,-1,-1,-1,-1,36,172.217.23.136,,146,
25,,2019-10-09T17:39:16.776+03:00,GET,https://ws.sharethis.com/button/async-buttons.js,HTTP/1.1,,404,0,,200,OK,HTTP/1.1,0,application/javascript,,,551,18855,,,96,0,-1,-1,-1,-1,60,13.225.249.48,,157,
26,,2019-10-09T17:39:17.034+03:00,GET,https://ssl.google-analytics.com/__utm.gif?utmwv=5.7.2&utms=2&utmn=162465372&utmhn=www.onread.com&utmcs=UTF-8&utmsr=800x600&utmvp=779x600&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmdt=OnRead.com%20-%20instant%20free%20e-book%20download.%20Read%20books%20online%20via%20this%20free%20e-book%20library.%20Become%20a%20literary%20critic%20and%20write%20your%20own%20review%20to%20any%20book.&utmhid=622816955&utmr=-&utmp=%2F&utmht=1570631957030&utmac=UA-12428980-1&utmcc=__utma%3D195420018.672481455.1570631928.1570631928.1570631928.1%3B%2B__utmz%3D195420018.1570631928.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmjid=&utmu=qAAAAAAAAAAAAAAAAAAAAAAE~,HTTP/1.1,value,1020,0,,200,OK,HTTP/1.1,0,image/gif,,,478,35,,,94,0,-1,-1,-1,-1,0,172.217.23.136,,94,
27,,2019-10-09T17:39:17.037+03:00,GET,https://ws.sharethis.com/button/css/buttons-secure.css,HTTP/1.1,,425,0,,200,OK,HTTP/1.1,0,text/css,,,509,3851,,,87,0,-1,-1,-1,-1,4,13.225.249.48,,92,
28,,2019-10-09T17:39:17.109+03:00,GET,https://counter.yadro.ru/hit?t44.6;r;s800*600*24;uhttps%3A//www.onread.com/;0.14734962054756173,HTTP/1.1,value,446,0,,302,Moved Temporarily,HTTP/1.1,0,text/html; charset=windows-1251,,https://counter.yadro.ru/p.gif,229,322,,,246,0,47,240,0,283,0,88.212.196.124,,578,
29,,2019-10-09T17:39:17.230+03:00,GET,https://apis.google.com/js/plusone.js,HTTP/1.1,,541,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,885,17039,,,121,0,0,161,0,182,56,216.58.207.78,,359,
30,,2019-10-09T17:39:17.231+03:00,GET,https://connect.facebook.net/en_US/sdk.js,HTTP/1.1,,356,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,804,1779,,,94,0,0,163,0,187,1,157.240.1.23,,283,
31,,2019-10-09T17:39:17.340+03:00,GET,https://c.sharethis.mgr.consensu.org/portal.html,HTTP/1.1,,516,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,585,4765,,,89,0,0,289,0,319,0,13.225.249.87,,410,
32,,2019-10-09T17:39:17.363+03:00,GET,https://counter.yadro.ru/p.gif,HTTP/1.1,,381,0,,200,OK,HTTP/1.1,0,image/gif,,,278,43,,,149,0,-1,-1,-1,-1,0,88.212.196.124,,150,
33,,2019-10-09T17:39:17.390+03:00,GET,https://count-server.sharethis.com/v2.0/get_counts?url=https%3A%2F%2Fwww.onread.com%2F&cb=stButtons.processCB&wd=true,HTTP/1.1,value,473,0,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,248,715,,,208,0,0,322,0,345,0,34.206.211.34,,554,
34,,2019-10-09T17:39:17.423+03:00,GET,https://apis.google.com/se/0/_/+1/fastbutton?usegapi=1&size=medium&count=true&origin=https%3A%2F%2Fwww.onread.com&url=https%3A%2F%2Fwww.onread.com%2F&gsrc=3p&ic=1&jsh=m%3B%2F_%2Fscs%2Fapps-static%2F_%2Fjs%2Fk%3Doz.gapi.en_US.ysvV9EtEi0w.O%2Fam%3DwQE%2Fd%3D1%2Frs%3DAGLTcCMcYZL5zQsWyujyfqZUWUukFuVxmQ%2Fm%3D__features__,HTTP/1.1,value,975,0,,404,Not Found,HTTP/1.1,0,text/html; charset=utf-8,,,685,806,,,121,0,-1,-1,-1,-1,0,216.58.207.78,,122,
35,,2019-10-09T17:39:17.468+03:00,GET,https://l.sharethis.com/pview?event=pview&version=buttons.js&lang=en&fpc=be2d6f7-16db0f54573-51ee84e2-3&sessionID=1570631956781.48754&hostname=www.onread.com&location=%2F&product=widget&stid=&fcmp=false&publisher=ce4d76e8-da89-4a31-a7bf-990c41bf4c78&refDomain=&refQuery=&consentDomain=.consensu.org&url=https%3A%2F%2Fwww.onread.com%2F&sharURL=&buttonType=ERROR&destination=ERROR&source=ERROR&title=OnRead.com%20-%20instant%20free%20e-book%20download.%20Read%20books%20online%20via%20this%20free%20e-book%20library.%20Become%20a%20literary%20critic%20and%20write%20your%20own%20review%20to%20any%20book.&ts1570631956781.0=&sop=false,HTTP/1.1,value,1016,0,,200,OK,HTTP/1.1,0,text/plain; charset=utf-8,,,456,51,,,101,0,-1,-1,-1,-1,0,3.123.152.53,,102,
36,,2019-10-09T17:39:17.515+03:00,GET,https://connect.facebook.net/en_US/sdk.js?hash=9f17e148e46c2834ceeaf51e48297d7b&ua=modern_es6,HTTP/1.1,value,437,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,819,59063,,,100,0,0,153,0,179,120,157.240.1.23,,400,
37,,2019-10-09T17:39:17.621+03:00,GET,https://accounts.google.com/o/oauth2/postmessageRelay?parent=https%3A%2F%2Fwww.onread.com&jsh=m%3B%2F_%2Fscs%2Fapps-static%2F_%2Fjs%2Fk%3Doz.gapi.en_US.ysvV9EtEi0w.O%2Fam%3DwQE%2Fd%3D1%2Frs%3DAGLTcCMcYZL5zQsWyujyfqZUWUukFuVxmQ%2Fm%3D__features__,HTTP/1.1,value,902,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,633,358,,,111,0,0,152,0,177,1,216.58.206.13,,290,
38,,2019-10-09T17:39:17.733+03:00,GET,https://t.sharethis.com/1/d/t.dhj?rnd=1570631957572&cid=c010&dmn=www.onread.com,HTTP/1.1,value,486,0,,200,OK,HTTP/1.1,0,application/javascript,,,466,957,,,90,0,0,124,0,157,0,104.82.118.155,,249,
39,,2019-10-09T17:39:17.779+03:00,GET,https://staticxx.facebook.com/connect/xd_arbiter.php?version=44,HTTP/1.1,value,531,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,515,11744,,,82,0,-1,-1,-1,-1,16,157.240.1.23,,99,
40,,2019-10-09T17:39:17.848+03:00,GET,https://t.sharethis.com/a/t_.htm?ver=0.308.14340&cid=c010,HTTP/1.1,value,617,0,,200,OK,HTTP/1.1,0,text/html,,,414,1084,,,91,0,-1,-1,-1,-1,0,104.82.118.155,,92,
41,,2019-10-09T17:39:17.995+03:00,GET,https://apis.google.com/js/rpc:shindig_random.js?onload=init,HTTP/1.1,value,785,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,885,4856,,,126,0,0,196,0,234,10,216.58.207.78,,371,
42,,2019-10-09T17:39:17.997+03:00,GET,https://ssl.gstatic.com/accounts/o/3679174131-postmessagerelay.js,HTTP/1.1,,602,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,4091,,,100,0,0,198,0,237,4,216.58.208.35,,343,
43,,2019-10-09T17:39:18.145+03:00,GET,"https://apis.google.com/_/scs/apps-static/_/js/k=oz.gapi.en_US.ysvV9EtEi0w.O/m=rpc,shindig_random/rt=j/sv=1/d=1/ed=1/am=wQE/rs=AGLTcCMcYZL5zQsWyujyfqZUWUukFuVxmQ/cb=gapi.loaded_0",HTTP/1.1,,903,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,540,19231,,,103,1,-1,-1,-1,-1,27,216.58.207.78,,132,
44,,2019-10-09T17:39:18.285+03:00,GET,https://ps.eyeota.net/pixel?pid=1mpb5m0&t=gif&gdpr=0&gdpr_consent=,HTTP/1.1,value,526,0,,0,,unknown,0,,,,-1,-1,,,0,0,0,275,0,308,0,18.185.83.216,,309,No response received
