,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.send,timings.wait,timings.dns,timings.receive,timings.blocked,timings.connect,serverIPAddress,comment,time,response._error,request.queryString.name
15,,2019-10-12T08:23:18.339+03:00,GET,https://www.youtube.com/embed/6tu0JDFueDw,HTTP/1.1,509,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1078,20408,,,1850,0,226,30,73,0,1877,216.58.207.78,,2208,,
16,,2019-10-12T08:23:18.645+03:00,GET,https://www.youtube.com/yts/cssbin/www-player-webp-vflE8GS0-.css,HTTP/1.1,495,0,,200,OK,HTTP/1.1,0,text/css,,,561,41451,,,-1,0,95,-1,64,-1,-1,216.58.207.78,,160,,
17,,2019-10-12T08:23:18.750+03:00,GET,https://www.youtube.com/yts/jsbin/www-embed-player-vfl7dFGHt/www-embed-player.js,HTTP/1.1,496,0,,200,OK,HTTP/1.1,0,text/javascript,,,566,39029,,,112,1,102,0,82,0,160,216.58.207.78,,346,,
18,,2019-10-12T08:23:18.753+03:00,GET,https://www.youtube.com/yts/jsbin/player_ias-vflNSW9LL/en_US/base.js,HTTP/1.1,484,0,,200,OK,HTTP/1.1,0,text/javascript,,,567,393512,,,115,0,103,0,304,0,164,216.58.207.78,,573,,
19,,2019-10-12T08:23:19.316+03:00,GET,https://www.youtube.com/yts/jsbin/player_ias-vflNSW9LL/en_US/remote.js,HTTP/1.1,486,0,,200,OK,HTTP/1.1,0,text/javascript,,,566,29991,,,-1,0,87,-1,16,-1,-1,216.58.207.78,,104,,
20,,2019-10-12T08:23:23.982+03:00,GET,https://googleads.g.doubleclick.net/pagead/id,HTTP/1.1,408,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://googleads.g.doubleclick.net/pagead/id?slf_rd=1,1114,0,,,4711,1,104,0,0,0,4741,172.217.22.2,,4848,,
21,,2019-10-12T08:23:24.115+03:00,GET,https://googleads.g.doubleclick.net/pagead/id?slf_rd=1,HTTP/1.1,457,0,,200,OK,HTTP/1.1,0,application/json; charset=UTF-8,,,1282,133,,,-1,0,103,-1,1,-1,-1,172.217.22.2,,105,,value
22,,2019-10-12T08:23:24.207+03:00,GET,https://www.google.com/js/bg/aPEEM9OJ9hGaYafZgWtx3Nc8atx1tS31xt75J5Meqn4.js,HTTP/1.1,408,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,5323,,,4928,1,86,0,2,0,4961,172.217.21.228,,5052,,
23,,2019-10-12T08:23:24.482+03:00,GET,https://www.youtube.com/generate_204?Q3TrKw,HTTP/1.1,495,0,,204,No Content,HTTP/1.1,0,,,,211,0,,,-1,0,89,-1,0,-1,-1,216.58.207.78,,90,,value
24,,2019-10-12T08:23:26.230+03:00,GET,https://fonts.gstatic.com/s/roboto/v18/KFOlCnqEu92Fr1MmEU9fBBc4.woff2,HTTP/1.1,432,0,,200,OK,HTTP/1.1,0,font/woff2,,,518,15552,,,6807,1,101,0,33,0,6844,172.217.22.3,,6979,,
25,,2019-10-12T08:23:26.243+03:00,GET,https://fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxK.woff2,HTTP/1.1,428,0,,200,OK,HTTP/1.1,0,font/woff2,,,519,15344,,,6820,1,94,0,26,0,6856,172.217.22.3,,6980,,
26,,2019-10-12T08:23:26.901+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,360,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,10483,0,90,0,36,0,10500,216.58.206.14,,10629,,
27,,2019-10-12T08:23:27.059+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&a=1256574986&t=pageview&_s=1&dl=https%3A%2F%2Fkoalabeast.com%2F&ul=en-us&de=UTF-8&dt=TagPro%20Capture%20the%20Flag&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=IEBAAEAB~&jid=892069476&gjid=1292157797&cid=110702359.1570857807&tid=UA-41030847-1&_gid=1230923223.1570857807&_r=1&z=1146266463,HTTP/1.1,687,0,,200,OK,HTTP/1.1,0,image/gif,,,466,35,,,-1,0,87,-1,0,-1,-1,216.58.206.14,,88,,value
28,,2019-10-12T08:23:28.115+03:00,GET,https://i.ytimg.com/vi/6tu0JDFueDw/maxresdefault.jpg,HTTP/1.1,421,0,,200,OK,HTTP/1.1,0,image/jpeg,,,435,88612,,,8722,0,113,0,134,0,8744,172.217.16.182,,8994,,
29,,2019-10-12T08:23:29.371+03:00,POST,https://www.youtube.com/youtubei/v1/log_event?alt=json&key=AIzaSyAO_FJ2SlqU8Q4STEHLGCilw_Y9_11qcW8,HTTP/1.1,1098,3214,,200,OK,HTTP/1.1,0,application/json; charset=UTF-8,,,448,48,,,-1,1,102,-1,0,-1,-1,216.58.207.78,,105,,value
30,,2019-10-12T08:23:29.570+03:00,GET,https://yt3.ggpht.com/-rUWLinC_J5Q/AAAAAAAAAAI/AAAAAAAAAAA/BwfNr0-UsFA/s68-c-k-no-mo-rj-c0xffffff/photo.jpg,HTTP/1.1,476,0,,200,OK,HTTP/1.1,0,image/jpeg,,,571,3492,,,2649,0,100,39,1,0,2680,216.58.210.1,,2823,,
31,,2019-10-12T08:23:29.675+03:00,GET,https://static.doubleclick.net/instream/ad_status.js,HTTP/1.1,385,0,,200,OK,HTTP/1.1,0,text/javascript,,,512,29,,,10368,0,83,33,1,0,10395,216.58.206.6,,10514,,
