,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.queryString.name,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.receive,timings.connect,timings.blocked,timings.dns,timings.ssl,timings.send,timings.wait,serverIPAddress,comment,time,response._error
10,,2019-10-09T17:56:42.406+03:00,GET,https://www.onread.com/css/icons.css?v=1465990458,HTTP/1.1,value,898,0,,200,OK,HTTP/1.1,0,text/css,,,516,1971,,,0,-1,-1,-1,-1,0,91,104.24.119.116,,92,
11,,2019-10-09T17:56:42.440+03:00,GET,https://code.jquery.com/ui/1.11.4/themes/smoothness/jquery-ui.css,HTTP/1.1,,395,0,,200,OK,HTTP/1.1,0,text/css,,,453,8056,,,19,146,0,0,114,0,93,209.197.3.24,,260,
12,,2019-10-09T17:56:42.502+03:00,GET,https://www.onread.com/css/bootstrap.css?v=1465990458,HTTP/1.1,value,902,0,,200,OK,HTTP/1.1,0,text/css,,,517,4054,,,47,-1,-1,-1,-1,0,107,104.24.119.116,,156,
13,,2019-10-09T17:56:42.522+03:00,GET,https://www.onread.com/js/jquery.ui/jquery.ui.core.css?v=1465990458,HTTP/1.1,value,916,0,,200,OK,HTTP/1.1,0,text/css,,,515,545,,,0,-1,-1,-1,-1,0,92,104.24.119.116,,93,
14,,2019-10-09T17:56:42.530+03:00,GET,https://www.onread.com/js/jquery.ui/jquery.ui.datepicker.css?v=1465990458,HTTP/1.1,value,922,0,,200,OK,HTTP/1.1,0,text/css,,,516,807,,,0,-1,-1,-1,-1,0,90,104.24.119.116,,91,
15,,2019-10-09T17:56:42.618+03:00,GET,https://www.onread.com/js/mCustomScrollbar/jquery.mCustomScrollbar.css?v=1465990458,HTTP/1.1,value,932,0,,200,OK,HTTP/1.1,0,text/css,,,516,5421,,,1,-1,-1,-1,-1,0,104,104.24.119.116,,105,
16,,2019-10-09T17:56:42.625+03:00,GET,https://www.onread.com/js/noos-select/jquery.noos.select.css?v=1465990458,HTTP/1.1,value,922,0,,200,OK,HTTP/1.1,0,text/css,,,516,728,,,0,-1,-1,-1,-1,0,90,104.24.119.116,,91,
17,,2019-10-09T17:56:42.660+03:00,GET,https://www.onread.com/js/poshytip/tip-basic/tip-basic.css?v=1465990458,HTTP/1.1,value,920,0,,200,OK,HTTP/1.1,0,text/css,,,516,562,,,0,-1,-1,-1,-1,0,95,104.24.119.116,,96,
18,,2019-10-09T17:56:42.720+03:00,GET,https://www.onread.com/js/fancybox-2.1.5/jquery.fancybox.css?v=1465990458,HTTP/1.1,value,922,0,,200,OK,HTTP/1.1,0,text/css,,,516,1257,,,0,-1,-1,-1,-1,0,98,104.24.119.116,,99,
19,,2019-10-09T17:56:42.727+03:00,GET,https://www.onread.com/css/popup.css?v=1465990458,HTTP/1.1,value,898,0,,200,OK,HTTP/1.1,0,text/css,,,516,1402,,,0,-1,-1,-1,-1,0,94,104.24.119.116,,95,
20,,2019-10-09T17:56:42.760+03:00,GET,https://www.onread.com/assets/37e991fb/authchoice.css?v=1485418581,HTTP/1.1,value,915,0,,200,OK,HTTP/1.1,0,text/css,,,516,272,,,0,-1,-1,-1,-1,0,105,104.24.119.116,,106,
21,,2019-10-09T17:56:43.036+03:00,GET,https://www.onread.com/js/jquery.ui/jquery.mobile-1.4.5.css?v=1465990458,HTTP/1.1,value,921,0,,200,OK,HTTP/1.1,0,text/css,,,518,26000,,,19,-1,-1,-1,-1,0,111,104.24.119.116,,131,
22,,2019-10-09T17:56:43.791+03:00,GET,https://www.onread.com/font/font-awesome/font-awesome.css?v=1465990458,HTTP/1.1,value,919,0,,200,OK,HTTP/1.1,0,text/css,,,516,6203,,,1,-1,-1,-1,-1,0,316,104.24.119.116,,318,
23,,2019-10-09T17:56:42.055+03:00,CONNECT,https://static.xx.fbcdn.net,HTTP/1.1,,0,0,,0,,unknown,0,,,,-1,-1,,,0,2944,0,0,-1,0,0,157.240.1.23,,2944,Unable to connect to host
24,,2019-10-09T17:56:45.063+03:00,GET,https://ssl.google-analytics.com/ga.js,HTTP/1.1,,353,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17168,,,232,-1,-1,-1,-1,0,549,172.217.21.232,,782,
25,,2019-10-09T17:56:45.097+03:00,GET,https://ws.sharethis.com/button/async-buttons.js,HTTP/1.1,,404,0,,200,OK,HTTP/1.1,0,application/javascript,,,551,18855,,,249,-1,-1,-1,-1,0,520,13.225.249.93,,770,
26,,2019-10-09T17:56:45.897+03:00,GET,https://ssl.google-analytics.com/__utm.gif?utmwv=5.7.2&utms=2&utmn=903958007&utmhn=www.onread.com&utmcs=UTF-8&utmsr=800x600&utmvp=779x600&utmsc=24-bit&utmul=en-us&utmje=0&utmfl=-&utmdt=OnRead.com%20-%20instant%20free%20e-book%20download.%20Read%20books%20online%20via%20this%20free%20e-book%20library.%20Become%20a%20literary%20critic%20and%20write%20your%20own%20review%20to%20any%20book.&utmhid=1271742084&utmr=-&utmp=%2F&utmht=1570633005887&utmac=UA-12428980-1&utmcc=__utma%3D195420018.1043624085.1570632980.1570632980.1570632980.1%3B%2B__utmz%3D195420018.1570632980.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&utmjid=&utmu=qAAAAAAAAAAAAAAAAAAAAAAE~,HTTP/1.1,value,1022,0,,200,OK,HTTP/1.1,0,image/gif,,,479,35,,,0,-1,-1,-1,-1,0,357,172.217.21.232,,358,
27,,2019-10-09T17:56:45.904+03:00,GET,https://ws.sharethis.com/button/css/buttons-secure.css,HTTP/1.1,,425,0,,200,OK,HTTP/1.1,0,text/css,,,509,3851,,,8,-1,-1,-1,-1,0,374,13.225.249.93,,383,
28,,2019-10-09T17:56:46.004+03:00,GET,https://counter.yadro.ru/hit?t44.6;r;s800*600*24;uhttps%3A//www.onread.com/;0.5713299354048187,HTTP/1.1,value,445,0,,302,Moved Temporarily,HTTP/1.1,0,text/html; charset=windows-1251,,https://counter.yadro.ru/p.gif,229,322,,,0,924,0,0,522,0,289,88.212.196.103,,1215,
29,,2019-10-09T17:56:46.303+03:00,GET,https://counter.yadro.ru/p.gif,HTTP/1.1,,381,0,,200,OK,HTTP/1.1,0,image/gif,,,278,43,,,0,-1,-1,-1,-1,1,184,88.212.196.103,,186,
30,,2019-10-09T17:56:46.563+03:00,GET,https://apis.google.com/js/plusone.js,HTTP/1.1,,541,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,885,17039,,,125,643,0,0,423,0,134,216.58.207.78,,904,
31,,2019-10-09T17:56:46.564+03:00,GET,https://connect.facebook.net/en_US/sdk.js,HTTP/1.1,,356,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,804,1778,,,3,649,0,0,412,0,124,157.240.1.23,,777,
32,,2019-10-09T17:56:46.564+03:00,GET,https://c.sharethis.mgr.consensu.org/portal.html,HTTP/1.1,,516,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,586,4765,,,11,1112,0,0,718,0,124,13.225.249.7,,1249,
33,,2019-10-09T17:56:46.581+03:00,GET,https://count-server.sharethis.com/v2.0/get_counts?url=https%3A%2F%2Fwww.onread.com%2F&cb=stButtons.processCB&wd=true,HTTP/1.1,value,473,0,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,248,715,,,0,664,0,0,441,0,831,34.205.126.71,,1497,
34,,2019-10-09T17:56:46.751+03:00,GET,https://l.sharethis.com/pview?event=pview&version=buttons.js&lang=en&fpc=be2d6f7-16db1054671-10f376b5-3&sessionID=1570633005089.22307&hostname=www.onread.com&location=%2F&product=widget&stid=&fcmp=false&publisher=ce4d76e8-da89-4a31-a7bf-990c41bf4c78&refDomain=&refQuery=&consentDomain=.consensu.org&url=https%3A%2F%2Fwww.onread.com%2F&sharURL=&buttonType=ERROR&destination=ERROR&source=ERROR&title=OnRead.com%20-%20instant%20free%20e-book%20download.%20Read%20books%20online%20via%20this%20free%20e-book%20library.%20Become%20a%20literary%20critic%20and%20write%20your%20own%20review%20to%20any%20book.&ts1570633005090.0=&sop=false,HTTP/1.1,value,1016,0,,200,OK,HTTP/1.1,0,text/plain; charset=utf-8,,,456,51,,,0,-1,-1,-1,-1,0,669,18.196.132.129,,670,
35,,2019-10-09T17:56:46.852+03:00,GET,https://apis.google.com/_/scs/apps-static/_/js/k=oz.gapi.en_US.ysvV9EtEi0w.O/m=plusone/rt=j/sv=1/d=1/ed=1/am=wQE/rs=AGLTcCMcYZL5zQsWyujyfqZUWUukFuVxmQ/cb=gapi.loaded_0,HTTP/1.1,,671,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,541,49966,,,435,-1,-1,-1,-1,1,549,216.58.207.78,,985,
36,,2019-10-09T17:56:47.432+03:00,GET,https://t.sharethis.com/1/d/t.dhj?rnd=1570633007429&cid=c010&dmn=www.onread.com,HTTP/1.1,value,487,0,,200,OK,HTTP/1.1,0,application/javascript,,,466,957,,,0,-1,-1,-1,-1,0,491,104.82.118.155,,493,
37,,2019-10-09T17:56:47.497+03:00,GET,https://connect.facebook.net/en_US/sdk.js?hash=9f17e148e46c2834ceeaf51e48297d7b&ua=modern_es6,HTTP/1.1,value,437,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,819,59063,,,740,754,0,0,493,0,436,157.240.1.23,,1931,
38,,2019-10-09T17:56:47.592+03:00,GET,https://apis.google.com/se/0/_/+1/fastbutton?usegapi=1&size=medium&count=true&origin=https%3A%2F%2Fwww.onread.com&url=https%3A%2F%2Fwww.onread.com%2F&gsrc=3p&ic=1&jsh=m%3B%2F_%2Fscs%2Fapps-static%2F_%2Fjs%2Fk%3Doz.gapi.en_US.ysvV9EtEi0w.O%2Fam%3DwQE%2Fd%3D1%2Frs%3DAGLTcCMcYZL5zQsWyujyfqZUWUukFuVxmQ%2Fm%3D__features__,HTTP/1.1,value,975,0,,404,Not Found,HTTP/1.1,0,text/html; charset=utf-8,,,685,803,,,32,731,0,0,328,0,414,216.58.207.78,,1180,
39,,2019-10-09T17:56:47.592+03:00,GET,https://apis.google.com/_/scs/apps-static/_/js/k=oz.gapi.en_US.ysvV9EtEi0w.O/m=auth/exm=plusone/rt=j/sv=1/d=1/ed=1/am=wQE/rs=AGLTcCMcYZL5zQsWyujyfqZUWUukFuVxmQ/cb=gapi.loaded_1,HTTP/1.1,,680,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,542,34215,,,627,720,0,0,329,0,376,216.58.207.78,,1725,
40,,2019-10-09T17:56:47.960+03:00,GET,https://t.sharethis.com/a/t_.htm?ver=0.308.14340&cid=c010,HTTP/1.1,value,618,0,,200,OK,HTTP/1.1,0,text/html,,,414,1084,,,0,-1,-1,-1,-1,1,567,104.82.118.155,,568,
41,,2019-10-09T17:56:48.559+03:00,GET,https://t.sharethis.com/0.308.14340/a/IL/t_.js?cid=c010,HTTP/1.1,value,498,0,,200,OK,HTTP/1.1,0,text/javascript,,,420,6546,,,0,-1,-1,-1,-1,0,491,104.82.118.155,,493,
42,,2019-10-09T17:56:48.697+03:00,GET,https://staticxx.facebook.com/connect/xd_arbiter.php?version=44,HTTP/1.1,value,531,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,516,11744,,,21,-1,-1,-1,-1,0,348,157.240.1.23,,370,
43,,2019-10-09T17:56:49.429+03:00,GET,https://accounts.google.com/o/oauth2/postmessageRelay?parent=https%3A%2F%2Fwww.onread.com&jsh=m%3B%2F_%2Fscs%2Fapps-static%2F_%2Fjs%2Fk%3Doz.gapi.en_US.ysvV9EtEi0w.O%2Fam%3DwQE%2Fd%3D1%2Frs%3DAGLTcCMcYZL5zQsWyujyfqZUWUukFuVxmQ%2Fm%3D__features__,HTTP/1.1,value,902,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,633,363,,,3,797,0,0,492,0,213,216.58.206.13,,1014,
44,,2019-10-09T17:56:49.509+03:00,GET,https://ps.eyeota.net/pixel?pid=1mpb5m0&t=gif&gdpr=0&gdpr_consent=,HTTP/1.1,value,520,0,,302,Found,HTTP/1.1,0,,,https://sync.sharethis.com/eyeota?uid=2VvKOWeIaopZkAVi_S80oN5u3TXQ3T58YwiG17ahN_g0,731,0,,,0,416,0,0,259,1,248,18.197.149.199,,665,
45,,2019-10-09T17:56:49.680+03:00,GET,https://apis.google.com/js/rpc:shindig_random.js?onload=init,HTTP/1.1,value,785,0,,200,OK,HTTP/1.1,0,application/javascript; charset=utf-8,,,885,4856,,,9,-1,-1,-1,-1,1,117,216.58.207.78,,128,
46,,2019-10-09T17:56:49.766+03:00,GET,https://sync.sharethis.com/eyeota?uid=2VvKOWeIaopZkAVi_S80oN5u3TXQ3T58YwiG17ahN_g0,HTTP/1.1,value,508,0,,200,OK,HTTP/1.1,0,image/gif,,,192,42,,,0,9086,0,0,9055,0,103,18.196.132.129,,9190,
47,,2019-10-09T17:56:49.831+03:00,GET,https://aa.agkn.com/adscores/r.pixel?sid=9212270798&puid=ZGwACl2d%2BSsAAAATIcajAw%3D%3D,HTTP/1.1,value,472,0,,200,OK,HTTP/1.1,0,image/gif,,,419,43,,,0,736,0,0,582,0,327,54.95.176.124,,1065,
48,,2019-10-09T17:56:51.467+03:00,GET,https://ssl.gstatic.com/accounts/o/3679174131-postmessagerelay.js,HTTP/1.1,,602,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,4091,,,5,1758,0,26,1729,0,136,216.58.208.35,,1927,
49,,2019-10-09T17:56:51.640+03:00,GET,"https://apis.google.com/_/scs/apps-static/_/js/k=oz.gapi.en_US.ysvV9EtEi0w.O/m=rpc,shindig_random/rt=j/sv=1/d=1/ed=1/am=wQE/rs=AGLTcCMcYZL5zQsWyujyfqZUWUukFuVxmQ/cb=gapi.loaded_0",HTTP/1.1,,903,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,540,19231,,,49,-1,-1,-1,-1,0,92,216.58.207.78,,142,
50,,2019-10-09T17:56:51.838+03:00,GET,https://www.facebook.com/v2.0/plugins/like.php?app_id=&channel=https%3A%2F%2Fstaticxx.facebook.com%2Fconnect%2Fxd_arbiter.php%3Fversion%3D44%23cb%3Df3dc433546b9b54%26domain%3Dwww.onread.com%26origin%3Dhttps%253A%252F%252Fwww.onread.com%252Ff2087a536773398%26relation%3Dparent.parent&container_width=0&href=https%3A%2F%2Fwww.onread.com%2F&layout=button_count&locale=en_US&sdk=joey&send=false&show_faces=false,HTTP/1.1,value,875,0,,0,,unknown,0,,,,-1,-1,,,0,-1,-1,-1,-1,0,0,157.240.1.35,,0,No response received
