,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.send,timings.wait,timings.dns,timings.blocked,timings.connect,timings.receive,serverIPAddress,comment,time,response._error,request.queryString.name
10,,2019-10-09T18:16:51.097+03:00,GET,https://koalabeast.com/images/KoalaBeast.png,HTTP/1.1,500,0,,200,OK,HTTP/1.1,0,image/png,,,348,20583,,,-1,0,340,-1,-1,-1,2,45.32.213.115,,343,,
11,,2019-10-09T18:16:51.334+03:00,GET,https://koalabeast.com/images/background_cropped.jpg,HTTP/1.1,529,0,,200,OK,HTTP/1.1,0,image/jpeg,,,349,22851,,,-1,0,185,-1,-1,-1,2,45.32.213.115,,188,,
12,,2019-10-09T18:16:51.336+03:00,GET,https://koalabeast.com/images/flair.png,HTTP/1.1,516,0,,200,OK,HTTP/1.1,0,image/png,,,348,62916,,,-1,0,215,-1,-1,-1,265,45.32.213.115,,481,,
13,,2019-10-09T18:16:51.865+03:00,POST,https://koalabeast.com/fingerprint,HTTP/1.1,761,35,,200,OK,HTTP/1.1,0,text/plain; charset=utf-8,,,529,2,,,-1,0,215,-1,-1,-1,0,45.32.213.115,,216,,
14,,2019-10-09T18:16:51.865+03:00,GET,https://koalabeast.com/flairlog,HTTP/1.1,646,0,,0,,unknown,0,,,,-1,-1,,,-1,0,0,-1,-1,-1,0,45.32.213.115,,0,No response received,
15,,2019-10-09T18:16:52.526+03:00,GET,https://www.youtube.com/embed/6tu0JDFueDw,HTTP/1.1,509,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1078,20271,,,1167,0,237,0,0,1196,73,216.58.208.46,,1509,,
16,,2019-10-09T18:16:52.842+03:00,GET,https://www.youtube.com/yts/cssbin/www-player-webp-vflOcA0vs.css,HTTP/1.1,495,0,,200,OK,HTTP/1.1,0,text/css,,,562,41442,,,-1,0,88,-1,-1,-1,77,216.58.208.46,,166,,
17,,2019-10-09T18:16:52.938+03:00,GET,https://www.youtube.com/yts/jsbin/www-embed-player-vfl0s3MKB/www-embed-player.js,HTTP/1.1,496,0,,200,OK,HTTP/1.1,0,text/javascript,,,566,39029,,,100,0,99,0,0,153,90,216.58.208.46,,344,,
18,,2019-10-09T18:16:52.947+03:00,GET,https://www.youtube.com/yts/jsbin/player_ias-vflPE_8vN/en_US/base.js,HTTP/1.1,484,0,,200,OK,HTTP/1.1,0,text/javascript,,,566,393260,,,110,0,96,0,0,161,310,216.58.208.46,,569,,
19,,2019-10-09T18:16:53.507+03:00,GET,https://www.youtube.com/yts/jsbin/player_ias-vflPE_8vN/en_US/remote.js,HTTP/1.1,486,0,,200,OK,HTTP/1.1,0,text/javascript,,,566,29996,,,-1,0,87,-1,-1,-1,21,216.58.208.46,,109,,
20,,2019-10-09T18:16:56.117+03:00,GET,https://www.google.com/js/bg/aPEEM9OJ9hGaYafZgWtx3Nc8atx1tS31xt75J5Meqn4.js,HTTP/1.1,408,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,5323,,,2648,1,133,0,0,2680,2,172.217.21.228,,2817,,
21,,2019-10-09T18:16:57.654+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,360,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,6324,1,86,0,0,6357,43,216.58.206.14,,6490,,
22,,2019-10-09T18:16:57.830+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&a=274073053&t=pageview&_s=1&dl=https%3A%2F%2Fkoalabeast.com%2F&ul=en-us&de=UTF-8&dt=TagPro%20Capture%20the%20Flag&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=IEBAAEAB~&jid=1471058243&gjid=2060913529&cid=530791623.1570634218&tid=UA-41030847-1&_gid=1631290330.1570634218&_r=1&z=274271273,HTTP/1.1,686,0,,200,OK,HTTP/1.1,0,image/gif,,,466,35,,,-1,0,97,-1,-1,-1,0,216.58.206.14,,98,,value
23,,2019-10-09T18:16:58.829+03:00,GET,https://i.ytimg.com/vi/6tu0JDFueDw/maxresdefault.jpg,HTTP/1.1,421,0,,200,OK,HTTP/1.1,0,image/jpeg,,,446,88612,,,5182,0,112,51,0,5209,201,172.217.22.54,,5574,,
24,,2019-10-09T18:17:00.837+03:00,GET,https://www.youtube.com/generate_204?U16LEw,HTTP/1.1,495,0,,204,No Content,HTTP/1.1,0,,,,211,0,,,-1,0,97,-1,-1,-1,0,216.58.208.46,,98,,value
25,,2019-10-09T18:17:00.945+03:00,GET,https://fonts.gstatic.com/s/roboto/v18/KFOlCnqEu92Fr1MmEU9fBBc4.woff2,HTTP/1.1,432,0,,200,OK,HTTP/1.1,0,font/woff2,,,520,15552,,,7331,0,99,0,0,7364,42,172.217.21.227,,7507,,
26,,2019-10-09T18:17:00.947+03:00,GET,https://fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxK.woff2,HTTP/1.1,428,0,,200,OK,HTTP/1.1,0,font/woff2,,,519,15344,,,7332,0,103,0,0,7365,40,172.217.21.227,,7510,,
27,,2019-10-09T18:17:01.431+03:00,GET,https://yt3.ggpht.com/-rUWLinC_J5Q/AAAAAAAAAAI/AAAAAAAAAAA/BwfNr0-UsFA/s68-c-k-no-mo-rj-c0xffffff/photo.jpg,HTTP/1.1,476,0,,200,OK,HTTP/1.1,0,image/jpeg,,,574,3492,,,3773,0,113,93,0,3797,1,172.217.22.97,,4007,,
28,,2019-10-09T18:17:03.567+03:00,POST,https://www.youtube.com/youtubei/v1/log_event?alt=json&key=AIzaSyAO_FJ2SlqU8Q4STEHLGCilw_Y9_11qcW8,HTTP/1.1,995,3214,,200,OK,HTTP/1.1,0,application/json; charset=UTF-8,,,448,48,,,-1,1,129,-1,-1,-1,0,216.58.208.46,,131,,value
29,,2019-10-09T18:17:03.971+03:00,GET,https://static.doubleclick.net/instream/ad_status.js,HTTP/1.1,385,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,29,,,10474,0,95,32,0,10501,1,216.58.206.6,,10630,,
