,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.ssl,timings.dns,timings.send,timings.wait,timings.receive,timings.connect,timings.blocked,serverIPAddress,comment,time,request.queryString.name
10,,2019-10-11T17:47:16.427+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,373,0,,200,OK,HTTP/1.1,0,text/javascript,,,541,17803,,,-1,-1,0,95,35,-1,-1,172.217.22.110,,131,
11,,2019-10-11T17:47:16.427+03:00,GET,http://www.shutupandtakemymoney.com/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=3.5.4,HTTP/1.1,1093,0,,200,OK,HTTP/1.1,0,text/css,,,413,1055,,,-1,-1,0,118,0,-1,-1,104.24.18.117,,118,value
12,,2019-10-11T17:47:16.431+03:00,GET,https://www.dwin2.com/init.js?t=1570805236426,HTTP/1.1,373,0,,200,OK,HTTP/1.1,0,application/javascript,,,492,103,,,-1,-1,0,91,0,-1,-1,151.101.18.110,,92,value
13,,2019-10-11T17:47:16.457+03:00,GET,http://www.shutupandtakemymoney.com/wp-content/uploads/2019/07/infinity-beer-pong-table-2.jpg,HTTP/1.1,1092,0,,200,OK,HTTP/1.1,0,image/jpeg,,,394,62985,,,-1,0,0,376,1643,38,0,104.24.18.117,,2058,
14,,2019-10-11T17:47:16.500+03:00,GET,http://www.shutupandtakemymoney.com/wp-content/uploads/2019/07/harry-potter-wooden-bookmarks-suatmm.jpg,HTTP/1.1,1102,0,,200,OK,HTTP/1.1,0,image/jpeg,,,394,211803,,,-1,0,0,383,5262,28,0,104.24.18.117,,5674,
15,,2019-10-11T17:47:16.511+03:00,GET,https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css,HTTP/1.1,412,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,450,19740,,,164,0,0,371,1104,218,0,209.197.3.15,,1695,
16,,2019-10-11T17:47:16.522+03:00,GET,http://www.shutupandtakemymoney.com/wp-content/uploads/2019/06/pickle-rick-tabacco-pipe-suatmm.jpg,HTTP/1.1,1097,0,,200,OK,HTTP/1.1,0,image/jpeg,,,393,100662,,,-1,-1,0,341,2647,-1,-1,104.24.18.117,,2989,
17,,2019-10-11T17:47:16.547+03:00,GET,"https://fonts.googleapis.com/css?family=Roboto:100,300,400,500,700,900",HTTP/1.1,413,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,657,758,,,199,0,0,132,0,252,0,216.58.207.42,,385,value
18,,2019-10-11T17:47:16.556+03:00,GET,http://www.shutupandtakemymoney.com/wp-content/uploads/2019/06/dumping-light-1.jpg,HTTP/1.1,1081,0,,200,OK,HTTP/1.1,0,image/jpeg,,,394,57910,,,-1,0,0,373,2417,36,0,104.24.18.117,,2828,
19,,2019-10-11T17:47:16.557+03:00,GET,https://plugin.monotote.com/plugin.min.js?1570805236548,HTTP/1.1,383,0,,200,OK,HTTP/1.1,0,application/javascript,,,921,3936,,,-1,-1,0,119,0,-1,-1,13.225.249.47,,120,value
20,,2019-10-11T17:47:16.564+03:00,GET,https://ws.sharethis.com/button/css/buttons-secure.css,HTTP/1.1,438,0,,200,OK,HTTP/1.1,0,text/css,,,509,3851,,,-1,-1,0,114,3,-1,-1,13.225.249.93,,118,
21,,2019-10-11T17:47:16.565+03:00,GET,http://www.shutupandtakemymoney.com/wp-content/uploads/2019/06/gun-cylinder-pen-holder.jpg,HTTP/1.1,1089,0,,200,OK,HTTP/1.1,0,image/jpeg,,,393,56028,,,-1,-1,0,351,1224,-1,-1,104.24.18.117,,1576,
22,,2019-10-11T17:47:16.580+03:00,GET,https://www.google-analytics.com/collect?v=1&_v=j79&a=803792107&t=pageview&_s=1&dl=http%3A%2F%2Fwww.shutupandtakemymoney.com%2F&ul=en-us&de=UTF-8&dt=Shut%20Up%20And%20Take%20My%20Money%20-%20Cool%20Gadgets%20and%20Geeky%20Products&sd=24-bit&sr=800x600&vp=800x600&je=0&_u=AACAAEAB~&jid=&gjid=&cid=709621776.1570805188&tid=UA-122981820-1&_gid=656709726.1570805188&z=810299519,HTTP/1.1,737,0,,200,OK,HTTP/1.1,0,image/gif,,,479,35,,,-1,-1,0,101,0,-1,-1,172.217.22.110,,102,value
23,,2019-10-11T17:47:16.647+03:00,GET,https://connect.facebook.net/en_US/all.js,HTTP/1.1,344,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,805,1780,,,180,0,0,129,6,199,0,31.13.92.14,,336,
24,,2019-10-11T17:47:16.754+03:00,GET,https://c.sharethis.mgr.consensu.org/portal.html,HTTP/1.1,529,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,586,4765,,,274,0,0,104,0,302,0,13.225.249.40,,407,
25,,2019-10-11T17:47:17.025+03:00,GET,https://connect.facebook.net/en_US/all.js?hash=2f0056c706b52c79243bad709a911f76&ua=modern_es6,HTTP/1.1,463,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,820,56406,,,202,0,0,97,110,235,0,31.13.92.14,,443,value
26,,2019-10-11T17:47:17.152+03:00,GET,https://l.sharethis.com/pview?event=pview&version=buttons.js&lang=en&fpc=46d1173-16dbb48ec0c-112d4bec-5&sessionID=1570805236418.31993&hostname=www.shutupandtakemymoney.com&location=%2F&product=widget&stid=&fcmp=false&publisher=wp.8cc0e660-f6fa-41ba-b476-dff972973c41&refDomain=&refQuery=&consentDomain=.consensu.org&url=http%3A%2F%2Fwww.shutupandtakemymoney.com%2F&sharURL=&buttonType=ERROR&destination=ERROR&source=ERROR&title=Shut%20Up%20And%20Take%20My%20Money%20-%20Cool%20Gadgets%20and%20Geeky%20Products&ts1570805236418.0=&sop=false,HTTP/1.1,949,0,,200,OK,HTTP/1.1,0,text/plain; charset=utf-8,,,469,51,,,204,24,0,105,0,226,0,18.195.80.102,,357,value
27,,2019-10-11T17:47:17.486+03:00,GET,https://t.sharethis.com/1/d/t.dhj?rnd=1570805237275&cid=c010&dmn=www.shutupandtakemymoney.com,HTTP/1.1,462,0,,200,OK,HTTP/1.1,0,application/javascript,,,466,957,,,186,0,0,97,0,206,0,104.82.118.155,,304,value
28,,2019-10-11T17:47:17.635+03:00,GET,http://t.sharethis.com/d/a.gif?aqet=priv_block_3pcookie&r=1570805237631&cid=c010,HTTP/1.1,436,0,,204,No Content,HTTP/1.1,0,,,,227,0,,,-1,0,0,120,0,20,0,104.82.118.155,,141,value
29,,2019-10-11T17:47:17.673+03:00,GET,https://staticxx.facebook.com/connect/xd_arbiter.php?version=44,HTTP/1.1,544,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1020,12382,,,296,46,0,92,14,340,0,31.13.92.14,,493,value
30,,2019-10-11T17:47:18.151+03:00,GET,http://www.shutupandtakemymoney.com/wp-content/uploads/2019/06/50-caliber-shot-glasses.jpg,HTTP/1.1,1089,0,,200,OK,HTTP/1.1,0,image/jpeg,,,394,57036,,,-1,-1,0,351,1275,-1,-1,104.24.18.117,,1627,
31,,2019-10-11T17:47:18.526+03:00,GET,http://www.shutupandtakemymoney.com/wp-content/uploads/2019/06/the-infinity-saucelet.jpg,HTTP/1.1,1087,0,,200,OK,HTTP/1.1,0,image/jpeg,,,395,167608,,,-1,-1,0,383,3859,-1,-1,104.24.18.117,,4243,
32,,2019-10-11T17:47:18.709+03:00,GET,http://www.shutupandtakemymoney.com/wp-content/uploads/2019/05/insert-coin-to-play-arcade-keychain.jpg,HTTP/1.1,1101,0,,200,OK,HTTP/1.1,0,image/jpeg,,,395,61863,,,-1,0,0,382,1443,28,0,104.24.18.117,,1854,
33,,2019-10-11T17:47:18.722+03:00,GET,https://www.facebook.com/plugins/like.php?href=http%3A%2F%2Fwww.facebook.com%2Fpages%2FShutUpAndTakeMyMoney%2F305843856151075%3Fbookmark_t%3Dpage&send=false&layout=button_count&width=90&show_faces=true&action=like&colorscheme=light&font&height=21&appId=194965570598454,HTTP/1.1,716,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1156,12287,,,-1,-1,0,206,12,-1,-1,157.240.1.35,,219,value
34,,2019-10-11T17:47:18.818+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,412,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,-1,-1,0,122,150,-1,-1,172.217.23.98,,273,
35,,2019-10-11T17:47:18.948+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,412,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,-1,-1,0,128,171,-1,-1,172.217.23.98,,300,
36,,2019-10-11T17:47:19.034+03:00,GET,https://adservice.google.com/adsid/integrator.js?domain=www.shutupandtakemymoney.com,HTTP/1.1,412,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,177,0,0,103,0,215,0,172.217.18.162,,320,value
37,,2019-10-11T17:47:19.093+03:00,GET,https://googleads.g.doubleclick.net/pagead/html/r20191003/r20190131/zrt_lookup.html,HTTP/1.1,656,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,894,7402,,,164,0,0,101,3,237,0,216.58.207.34,,342,
38,,2019-10-11T17:47:19.193+03:00,GET,https://adservice.google.co.il/adsid/integrator.js?domain=www.shutupandtakemymoney.com,HTTP/1.1,414,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,271,33,0,99,0,344,0,172.217.18.162,,477,value
39,,2019-10-11T17:47:19.195+03:00,POST,http://sumo.com/api/load/,HTTP/1.1,531,203,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,530,770,,,-1,62,0,441,0,34,0,52.34.133.113,,539,
40,,2019-10-11T17:47:19.304+03:00,GET,https://privymktg.com/collect?v=1&cid=623de0ff-4626-48b1-bebc-c051989232ac&cd1=ACBC6F6D913531325C3A4FC3&tid=UA-20331028-1&t=pageview&ci=ACBC6F6D913531325C3A4FC3&cm=web&cn=ACBC6F6D913531325C3A4FC3&ec=widget&dl=http%3A%2F%2Fwww.shutupandtakemymoney.com%2F&dt=Shut%20Up%20And%20Take%20My%20Money%20-%20Cool%20Gadgets%20and%20Geeky%20Products&ul=en-US&z=4117846057000396,HTTP/1.1,730,0,,302,Moved Temporarily,HTTP/1.1,0,,,https://google-analytics.com/collect?v=1&cid=623de0ff-4626-48b1-bebc-c051989232ac&cd1=ACBC6F6D913531325C3A4FC3&tid=UA-20331028-1&t=pageview&ci=ACBC6F6D913531325C3A4FC3&cm=web&cn=ACBC6F6D913531325C3A4FC3&ec=widget&dl=http%3A%2F%2Fwww.shutupandtakemymoney.com%2F&dt=Shut%20Up%20And%20Take%20My%20Money%20-%20Cool%20Gadgets%20and%20Geeky%20Products&ul=en-US&z=4117846057000396,822,0,,,174,0,0,101,0,205,0,104.28.22.64,,307,value
41,,2019-10-11T17:47:19.310+03:00,GET,https://api.privy.com/businesses/ACBC6F6D913531325C3A4FC3/campaigns.json?l=http%3A%2F%2Fwww.shutupandtakemymoney.com%2F&s=j&fence=1&user_uuid=623de0ff-4626-48b1-bebc-c051989232ac,HTTP/1.1,591,0,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,932,43,,,185,0,0,207,0,215,0,104.25.97.17,,424,value
42,,2019-10-11T17:47:19.386+03:00,GET,http://www.shutupandtakemymoney.com/cart?wc-ajax=get_cart_totals,HTTP/1.1,1093,0,,200,OK,HTTP/1.1,0,text/html;charset=UTF-8,,,439,351,,,-1,-1,0,1863,0,-1,-1,104.24.18.117,,1863,value
43,,2019-10-11T17:47:19.442+03:00,GET,https://api.monotote.com/v1/find-publisher/awin/249257,HTTP/1.1,424,0,,200,OK,HTTP/1.1,0,application/json,,,700,132,,,185,0,0,124,0,237,0,188.166.110.31,,362,
44,,2019-10-11T17:47:19.518+03:00,GET,http://www.shutupandtakemymoney.com/wp-content/uploads/2019/05/shredder-cheese-grater.jpg,HTTP/1.1,1088,0,,200,OK,HTTP/1.1,0,image/jpeg,,,388,48703,,,-1,-1,0,348,2098,-1,-1,104.24.18.117,,2448,
45,,2019-10-11T17:47:19.525+03:00,GET,https://www.googletagservices.com/activeview/js/current/osd.js?cb=%2Fr20100101,HTTP/1.1,406,0,,200,OK,HTTP/1.1,0,text/javascript,,,708,29044,,,-1,-1,0,116,24,-1,-1,172.217.23.98,,141,value
46,,2019-10-11T17:47:19.533+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ivXU4/yZ/l/he_IL/PNCeFIuL-co.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,436,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,124564,,,-1,-1,0,81,82,-1,-1,157.240.1.23,,164,value
47,,2019-10-11T17:47:19.614+03:00,GET,http://cas.criteo.com/delivery/ajs.php?zoneid=287315&nodis=1&cb=13538431714&exclude=undefined&charset=windows-1252&loc=http%3A//shutupandtakemymoney.com/adzonec728.html,HTTP/1.1,568,0,,200,OK,HTTP/1.1,0,text/javascript;charset=utf-8,,,642,1065,,,-1,1,0,127,0,35,0,178.250.2.138,,165,value
48,,2019-10-11T17:47:19.618+03:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3ivXU4/yZ/l/he_IL/PNCeFIuL-co.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,405,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,598,124564,,,-1,-1,0,84,70,-1,-1,157.240.1.23,,155,value
49,,2019-10-11T17:47:19.754+03:00,GET,https://google-analytics.com/collect?v=1&cid=623de0ff-4626-48b1-bebc-c051989232ac&cd1=ACBC6F6D913531325C3A4FC3&tid=UA-20331028-1&t=pageview&ci=ACBC6F6D913531325C3A4FC3&cm=web&cn=ACBC6F6D913531325C3A4FC3&ec=widget&dl=http%3A%2F%2Fwww.shutupandtakemymoney.com%2F&dt=Shut%20Up%20And%20Take%20My%20Money%20-%20Cool%20Gadgets%20and%20Geeky%20Products&ul=en-US&z=4117846057000396,HTTP/1.1,737,0,,200,OK,HTTP/1.1,0,image/gif,,,479,35,,,194,0,0,87,0,223,0,172.217.23.132,,311,value
50,,2019-10-11T17:47:19.755+03:00,GET,https://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-9681251452496384&output=html&h=200&twa=1&slotname=6443867551&adk=2057880241&adf=338576669&w=350&fwrn=4&fwrnh=100&lmt=1570805239&guci=2.2.0.0.2.2.0.0&format=350x200&url=http%3A%2F%2Fwww.shutupandtakemymoney.com%2F&flash=0&fwr=0&rh=200&rw=350&wgl=1&dt=1570805238814&bpp=32&bdt=2563&fdt=677&idt=677&shv=r20191003&cbv=r20190131&saldr=aa&abxe=1&correlator=4034850348572&frm=20&pv=2&ga_vid=709621776.1570805188&ga_sid=1570805239&ga_hid=803792107&ga_fc=0&iag=0&icsg=3025855999639536&dssz=119&mdo=0&mso=0&u_tz=180&u_his=2&u_java=0&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_nplug=0&u_nmime=0&adx=428&ady=10783&biw=779&bih=600&scr_x=0&scr_y=0&eid=21064714&oid=3&pvsid=204442028744150&pem=410&rx=0&eae=0&fc=912&brdim=0%2C0%2C0%2C0%2C800%2C0%2C800%2C600%2C800%2C600&vis=1&rsz=%7C%7CpoeEbr%7C&abl=CS&pfx=0&fu=1040&bc=23&ifi=1&uci=1.lrrk4swytqsc&xpc=HWwGOHYkaa&p=http%3A//www.shutupandtakemymoney.com&dtd=698,HTTP/1.1,1530,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,750,6820,,,203,0,0,269,1,232,0,216.58.207.34,,503,value
51,,2019-10-11T17:47:19.760+03:00,GET,https://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-9681251452496384&output=html&h=600&slotname=3520588631&adk=1185311379&adf=4019781506&w=300&lmt=1570805239&guci=2.2.0.0.2.2.0.0&format=300x600&url=http%3A%2F%2Fwww.shutupandtakemymoney.com%2F&flash=0&wgl=1&adsid=NT&dt=1570805238904&bpp=15&bdt=2653&fdt=699&idt=699&shv=r20191003&cbv=r20190131&saldr=aa&abxe=1&prev_fmts=350x200&correlator=4034850348572&frm=20&pv=1&ga_vid=709621776.1570805188&ga_sid=1570805239&ga_hid=803792107&ga_fc=0&iag=0&icsg=3025855999639536&dssz=120&mdo=0&mso=0&u_tz=180&u_his=2&u_java=0&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_nplug=0&u_nmime=0&adx=862&ady=395&biw=779&bih=600&scr_x=0&scr_y=0&eid=21064714&oid=3&pvsid=204442028744150&pem=410&rx=0&eae=0&fc=912&brdim=0%2C0%2C0%2C0%2C800%2C0%2C800%2C600%2C800%2C600&vis=1&rsz=%7C%7CleE%7C&abl=CS&pfx=0&fu=1040&bc=23&ifi=5&uci=5.dcfombkjz64b&xpc=6vwh10Z2r2&p=http%3A//www.shutupandtakemymoney.com&dtd=704,HTTP/1.1,1510,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,750,6320,,,109,0,0,664,2,144,0,216.58.207.34,,812,value
52,,2019-10-11T17:47:19.784+03:00,GET,https://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-9681251452496384&output=html&h=250&slotname=9320971652&adk=2664836855&adf=276876987&w=250&lmt=1570805239&guci=2.2.0.0.2.2.0.0&format=250x250&url=http%3A%2F%2Fwww.shutupandtakemymoney.com%2F&flash=0&wgl=1&adsid=NT&dt=1570805238937&bpp=17&bdt=2686&fdt=688&idt=688&shv=r20191003&cbv=r20190131&saldr=aa&abxe=1&prev_fmts=350x200%2C300x600&correlator=4034850348572&frm=20&pv=1&ga_vid=709621776.1570805188&ga_sid=1570805239&ga_hid=803792107&ga_fc=0&iag=0&icsg=3025855999639536&dssz=120&mdo=0&mso=0&u_tz=180&u_his=2&u_java=0&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_nplug=0&u_nmime=0&adx=862&ady=1231&biw=779&bih=600&scr_x=0&scr_y=0&eid=21064714&oid=3&pvsid=204442028744150&pem=410&rx=0&eae=0&fc=912&brdim=0%2C0%2C0%2C0%2C800%2C0%2C800%2C600%2C800%2C600&vis=1&rsz=%7C%7CleEbr%7C&abl=CS&pfx=0&fu=1040&bc=23&ifi=6&uci=6.h9nkk7cmwav1&xpc=ckAu0ttqIz&p=http%3A//www.shutupandtakemymoney.com&dtd=694,HTTP/1.1,1522,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,751,19652,,,115,0,0,707,72,141,0,216.58.207.34,,922,value
53,,2019-10-11T17:47:19.785+03:00,GET,http://www.shutupandtakemymoney.com/wp-content/uploads/2018/10/laughing-face.png,HTTP/1.1,1079,0,,200,OK,HTTP/1.1,0,image/png,,,388,19853,,,-1,-1,0,117,28,-1,-1,104.24.18.117,,146,
54,,2019-10-11T17:47:19.810+03:00,POST,http://sumo.com/services,HTTP/1.1,530,813,,200,OK,HTTP/1.1,0,application/json; charset=utf-8,,,629,869,,,-1,-1,0,260,0,-1,-1,52.34.133.113,,261,
55,,2019-10-11T17:47:19.846+03:00,GET,https://api.monotote.com/v1/settings?api-key=2y10b1g3qectrvfluj4rtkhitoeojubg9iyr4mh9mainmnwknfeanf4e,HTTP/1.1,471,0,,200,OK,HTTP/1.1,0,application/json,,,740,3092,,,195,0,0,139,0,229,0,188.166.110.31,,370,value
