,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.connect,timings.receive,timings.blocked,timings.wait,timings.send,timings.dns,timings.ssl,serverIPAddress,comment,time,request.queryString.name,response._error
28,,2019-10-09T17:13:28.350+03:00,GET,https://googleads.g.doubleclick.net/pagead/adview?ai=CH187G--dXf6bL9vjgQfF2YXoB4PsleVY9NiX-qAJv-EeEAEg4LrbKGD5uvSDnBCgAfmgpOoCyAECqAMByAPJBKoErwFP0LuyPxlB2hFcpJd7QJNZeFvwU2EbYOnzfXmLWxiQJAvgPFqDM-94SjsC1HyJxESga6fItlfBbW_PMA26tlQKVGjOh_Is_xxvyGY3ImQYsId4P1SNhEv_ZKHCu-UZg5zQNldwDsVbN3EUdnCtZ8xAda9Tu_7eDVCjxUefOxIlgHYHruR9tOPa-xSIBUTuPaXymAG2vESJNRfcr5GPufplg6IqgYqJcbYS1waRiRqdwAS_-MyqlAKSBQQIBBgBkgUECAUYBKAGAoAH797blQGoB47OG6gH1ckbqAfB0xuoB4XUG6gHgdQbqAeC1BuoB4bUG6gHhNQbqAeT2BuoB-DTG6gHugaoB9nLG6gHz8wbqAemvhvYBwHyBwQQ2LMW0ggHCIBhEAEYHoAKAdgTDA&sigh=8QlfBcVialo&tpd=AGWhJmvpQmRI5UgjeTyPJFA-rGDaAiHfE8v7n9zLci3TbRKAZA,HTTP/1.1,1906,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,1114,0,,,-1,0,-1,106,1,-1,-1,216.58.206.2,,108,value,
29,,2019-10-09T17:13:29.780+03:00,GET,https://tpc.googlesyndication.com/pagead/js/r20191003/r20110914/abg_lite.js,HTTP/1.1,1320,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,679,11455,,,1399,11,0,104,1,31,1371,172.217.16.129,,1548,,
30,,2019-10-09T17:13:29.802+03:00,GET,https://tpc.googlesyndication.com/pagead/js/r20191003/r20110914/client/m_js_controller.js,HTTP/1.1,1334,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,680,14391,,,1418,26,0,88,1,37,1390,172.217.16.129,,1571,,
31,,2019-10-09T17:13:29.803+03:00,GET,https://tpc.googlesyndication.com/pagead/js/r20191003/r20110914/client/qs_click_protection.js,HTTP/1.1,1338,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,678,5132,,,1419,2,0,92,1,30,1391,172.217.16.129,,1546,,
32,,2019-10-09T17:13:29.812+03:00,GET,https://tpc.googlesyndication.com/simgad/2671993393372279051?sqp=4sqPyQQ7QjkqNxABHQAAtEIgASgBMAk4A0DwkwlYAWBfcAKAAQGIAQGdAQAAgD-oAQGwAYCt4gS4AV_FAS2ynT4&rs=AOga4qnnFE7xDYzZzOuZA0b-224QLAQLzA,HTTP/1.1,1471,0,,200,OK,HTTP/1.1,0,image/jpeg,,,521,133286,,,1429,177,0,98,0,32,1401,172.217.16.129,,1738,value,
33,,2019-10-09T17:13:29.822+03:00,GET,https://tpc.googlesyndication.com/pagead/js/r20191003/r20110914/client/window_focus.js,HTTP/1.1,1331,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,679,1044,,,1441,0,0,92,0,36,1413,172.217.16.129,,1571,,
34,,2019-10-09T17:13:33.816+03:00,GET,https://googleads.g.doubleclick.net/pagead/drt/s?v=r20120211,HTTP/1.1,1537,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,609,145,,,-1,0,-1,97,1,-1,-1,216.58.206.2,,98,value,
35,,2019-10-09T17:13:33.875+03:00,GET,https://www.googletagservices.com/activeview/js/current/osd_listener.js?cache=r20110914,HTTP/1.1,1332,0,,200,OK,HTTP/1.1,0,text/javascript,,,708,29611,,,5885,59,0,142,0,0,5846,216.58.206.2,,6088,value,
36,,2019-10-09T17:13:33.875+03:00,GET,https://www.googletagservices.com/activeview/js/current/osd.js?cb=%2Fr20100101,HTTP/1.1,398,0,,200,OK,HTTP/1.1,0,text/javascript,,,708,29093,,,5526,71,0,123,0,0,5489,216.58.206.2,,5722,value,
37,,2019-10-09T17:13:33.929+03:00,GET,https://www.google.com/pagead/drt/ui,HTTP/1.1,541,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://googleads.g.doubleclick.net/pagead/drt/si,401,246,,,-1,0,-1,129,0,-1,-1,172.217.21.228,,130,,
38,,2019-10-09T17:13:34.066+03:00,GET,https://googleads.g.doubleclick.net/pagead/drt/si,HTTP/1.1,632,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,888,0,,,-1,0,-1,90,0,-1,-1,216.58.206.2,,91,,
39,,2019-10-09T17:13:34.182+03:00,GET,https://pagead2.googlesyndication.com/bg/aPEEM9OJ9hGaYafZgWtx3Nc8atx1tS31xt75J5Meqn4.js,HTTP/1.1,1332,0,,0,,unknown,0,,,,-1,-1,,,-1,0,-1,0,0,-1,-1,172.217.22.34,,0,,No response received
