,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,response._error,timings.comment,timings.dns,timings.connect,timings.send,timings.wait,timings.receive,timings.blocked,timings.ssl,comment,time,serverIPAddress,request.queryString.name
18,har_a3,2019-12-13T18:59:50.875+02:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yx/r/vusL2hfTC2d.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,440,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,629,83320,,,,-1,-1,2,236,560,-1,-1,,798,31.13.90.6,value
19,har_a3,2019-12-13T18:59:51.105+02:00,GET,https://facebook.com/security/hsts-pixel.gif,HTTP/1.1,505,0,,200,OK,HTTP/1.1,0,image/gif,,,1365,44,,,,29,528,1,112,0,0,507,,672,31.13.90.36,
20,har_a3,2019-12-13T18:59:51.308+02:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yb/r/GsNJNwuI-UM.gif,HTTP/1.1,428,0,,200,OK,HTTP/1.1,0,image/gif,,,552,522,,,,0,369,1,224,5,0,338,,600,31.13.90.6,
21,har_a3,2019-12-13T18:59:51.776+02:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yI/r/5YJdjtFYsEy.png,HTTP/1.1,489,0,,200,OK,HTTP/1.1,0,image/png,,,554,15015,,,,-1,-1,0,103,81,-1,-1,,185,31.13.90.6,
22,har_a3,2019-12-13T18:59:51.963+02:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yl/r/O6NksE4uoLC.png,HTTP/1.1,489,0,,200,OK,HTTP/1.1,0,image/png,,,553,1163,,,,-1,-1,0,107,0,-1,-1,,108,31.13.90.6,
23,har_a3,2019-12-13T18:59:51.983+02:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/ye/r/gh2BKTXkCxb.png,HTTP/1.1,489,0,,200,OK,HTTP/1.1,0,image/png,,,554,16481,,,,0,176,1,91,92,0,146,,362,31.13.90.6,
24,har_a3,2019-12-13T18:59:52.017+02:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3isdv4/yu/l/en_US/40fPF_2b2cZ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,451,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,630,355575,,,,-1,-1,1,152,2016,-1,-1,,2171,31.13.90.6,value
25,har_a3,2019-12-13T18:59:54.354+02:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iidW4/y-/l/en_US/FTlx24msgmk.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,451,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,629,19119,,,,-1,-1,0,109,219,-1,-1,,329,31.13.90.6,value
26,har_a3,2019-12-13T18:59:54.354+02:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yM/r/E9Mk8QCCThk.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,440,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,628,4254,,,,-1,-1,0,131,35,-1,-1,,167,31.13.90.6,value
27,har_a3,2019-12-13T18:59:54.359+02:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iW4a4/yM/l/en_US/pxSz37Qlfyb.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,451,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,628,8818,,,,-1,-1,0,156,63,-1,-1,,219,31.13.90.6,value
28,har_a3,2019-12-13T18:59:54.360+02:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i8594/yT/l/en_US/yqcGSezrmzF.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,451,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,628,5360,,,,-1,-1,0,262,31,-1,-1,,294,31.13.90.6,value
29,har_a3,2019-12-13T18:59:54.365+02:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iCyH4/y0/l/en_US/ZnnHlvNnScU.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,451,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,629,23250,,,,-1,-1,0,317,318,-1,-1,,637,31.13.90.6,value
30,har_a3,2019-12-13T18:59:54.367+02:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iYXl4/yI/l/en_US/CSM_QaqTSsW.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,451,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,628,6940,,,,-1,-1,0,396,44,-1,-1,,441,31.13.90.6,value
31,har_a3,2019-12-13T18:59:54.546+02:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iaKm4/yc/l/en_US/ly3u-1r0kzC.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,451,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,629,10955,,,,-1,-1,5,254,68,-1,-1,,328,31.13.90.6,value
32,har_a3,2019-12-13T18:59:54.581+02:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3izyp4/yF/l/en_US/BHDZxWVHhcN.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,451,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,629,43319,,,,-1,-1,0,297,796,-1,-1,,1094,31.13.90.6,value
33,har_a3,2019-12-13T18:59:54.660+02:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yZ/r/tb_YvEDWcve.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,440,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,628,6631,,,,-1,-1,0,347,40,-1,-1,,389,31.13.90.6,value
34,har_a3,2019-12-13T18:59:54.692+02:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iIvb4/yU/l/en_US/KbY_dwGAU_m.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,451,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,629,32903,,,,-1,-1,0,358,198,-1,-1,,557,31.13.90.6,value
35,har_a3,2019-12-13T18:59:54.810+02:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yX/r/Oq8q1Ihu-d1.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,440,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,628,8107,,,,-1,-1,0,461,51,-1,-1,,513,31.13.90.6,value
36,har_a3,2019-12-13T18:59:54.881+02:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i5Xt4/y6/l/en_US/zq3JRyGiPgi.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,451,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,629,14595,,,,-1,-1,0,558,341,-1,-1,,900,31.13.90.6,value
37,har_a3,2019-12-13T18:59:55.004+02:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yK/r/oQRPcv6688-.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,440,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,628,1259,,,,-1,-1,0,534,6,-1,-1,,541,31.13.90.6,value
38,har_a3,2019-12-13T18:59:55.051+02:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y5/r/AbWA5swIuyu.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,440,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,629,83900,,,,-1,-1,0,500,946,-1,-1,,1448,31.13.90.6,value
39,har_a3,2019-12-13T18:59:55.254+02:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yo/r/tN1N5tiRyzo.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,440,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,628,2928,,,,-1,-1,0,422,19,-1,-1,,442,31.13.90.6,value
40,har_a3,2019-12-13T18:59:55.327+02:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3i1md4/y-/l/en_US/Yvesfg-Jylo.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,451,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,629,45776,,,,-1,-1,1,370,806,-1,-1,,1179,31.13.90.6,value
41,har_a3,2019-12-13T18:59:55.551+02:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yB/r/pjdX5xA755X.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,440,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,628,5603,,,,-1,-1,1,388,35,-1,-1,,424,31.13.90.6,value
42,har_a3,2019-12-13T18:59:55.606+02:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,670,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1386,66,,,,-1,-1,1,110,1,-1,-1,,112,31.13.90.36,
43,har_a3,2019-12-13T18:59:55.682+02:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y7/r/svFKQXueTby.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,440,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,628,2406,,,,-1,-1,0,412,16,-1,-1,,430,31.13.90.6,value
44,har_a3,2019-12-13T18:59:55.703+02:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iqES4/yZ/l/en_US/sPURVlDOSFS.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,451,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,628,9980,,,,-1,-1,0,449,66,-1,-1,,516,31.13.90.6,value
45,har_a3,2019-12-13T18:59:55.727+02:00,GET,https://www.facebook.com/common/referer_frame.php,HTTP/1.1,670,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1386,66,,,,39,535,1,122,2,0,484,,701,31.13.90.36,
46,har_a3,2019-12-13T18:59:55.785+02:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yE/r/1WstuO0PYnw.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,440,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,628,5745,,,,-1,-1,0,529,46,-1,-1,,576,31.13.90.6,value
47,har_a3,2019-12-13T18:59:56.206+02:00,GET,https://fbsbx.com/captcha/recaptcha/iframe/?referer=https%3A%2F%2Fwww.facebook.com&compact=0,HTTP/1.1,607,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1251,6469,,,,31,402,0,112,2,0,369,,548,31.13.90.36,value
48,har_a3,2019-12-13T18:59:56.232+02:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/y4/r/-PAXP-deijE.gif,HTTP/1.1,428,0,,200,OK,HTTP/1.1,0,image/gif,,,551,43,,,,-1,-1,0,274,4,-1,-1,,278,31.13.90.6,
49,har_a3,2019-12-13T18:59:56.341+02:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yv/l/0,cross/IMGU2FViX3s.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,500,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,566,160,,,,-1,-1,0,235,6,-1,-1,,242,31.13.90.6,value
50,har_a3,2019-12-13T18:59:56.342+02:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yD/l/0,cross/LfSfgoe0hpb.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,500,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,613,20313,,,,0,163,3,169,118,0,131,,455,31.13.90.6,value
51,har_a3,2019-12-13T18:59:56.396+02:00,GET,https://cx.atdmt.com/?f=AYz6owEec3jrhqa5BNAduZXuvuaevvZv_lqPGoDKt3RVIs8YpuitFSycfXR7rTjELvuiQEVBDYRQZIB-TksrtFWz&c=2037242411&v=1&l=2,HTTP/1.1,525,0,,200,OK,HTTP/1.1,0,image/gif,,,571,42,,,,28,475,4,127,1,0,453,,635,31.13.90.9,value
52,har_a3,2019-12-13T18:59:56.549+02:00,GET,"https://static.xx.fbcdn.net/rsrc.php/v3/yH/l/0,cross/1Oe4_bGMM7Z.css?_nc_x=Ij3Wp8lg5Kz",HTTP/1.1,500,0,,200,OK,HTTP/1.1,0,text/css; charset=utf-8,,,613,15229,,,,-1,-1,1,98,83,-1,-1,,182,31.13.90.6,value
53,har_a3,2019-12-13T18:59:56.588+02:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yx/r/vusL2hfTC2d.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,476,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,629,83320,,,,-1,-1,0,140,472,-1,-1,,613,31.13.90.6,value
54,har_a3,2019-12-13T18:59:56.778+02:00,GET,https://www.google.com/recaptcha/api.js,HTTP/1.1,438,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,521,462,,,,32,403,0,104,7,0,371,,547,216.58.206.4,
55,har_a3,2019-12-13T18:59:57.259+02:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yz/r/8VPElspfp7z.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,476,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,627,709,,,,-1,-1,0,176,4,-1,-1,,181,31.13.90.6,value
56,har_a3,2019-12-13T18:59:57.259+02:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3/yM/r/E9Mk8QCCThk.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,476,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,628,4254,,,,-1,-1,1,146,28,-1,-1,,176,31.13.90.6,value
57,har_a3,2019-12-13T18:59:57.259+02:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3iW4a4/yM/l/en_US/pxSz37Qlfyb.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,487,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,628,8818,,,,0,260,0,100,45,0,234,,407,31.13.90.6,value
58,har_a3,2019-12-13T18:59:57.759+02:00,GET,https://static.xx.fbcdn.net/rsrc.php/v3isdv4/yu/l/en_US/40fPF_2b2cZ.js?_nc_x=Ij3Wp8lg5Kz,HTTP/1.1,487,0,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,630,355575,,,,-1,-1,0,122,1982,-1,-1,,2105,31.13.90.6,value
59,har_a3,2019-12-13T18:59:57.772+02:00,GET,https://www.gstatic.com/recaptcha/releases/mhgGrlTs_PbFQOW4ejlxlxZn/recaptcha__en.js,HTTP/1.1,483,0,,200,OK,HTTP/1.1,0,text/javascript,,,569,92878,,,,31,818,0,95,136,0,793,,1082,172.217.22.99,
60,har_a3,2019-12-13T18:59:58.064+02:00,GET,https://www.google.com/recaptcha/api2/anchor?ar=1&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&co=aHR0cHM6Ly9mYnNieC5jb206NDQz&hl=en&v=mhgGrlTs_PbFQOW4ejlxlxZn&size=normal&cb=s6tf764tx7r8,HTTP/1.1,743,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,762,9522,,,,-1,-1,0,112,23,-1,-1,,136,216.58.206.4,value
61,har_a3,2019-12-13T18:59:58.289+02:00,GET,https://www.gstatic.com/recaptcha/releases/mhgGrlTs_PbFQOW4ejlxlxZn/styles__ltr.css,HTTP/1.1,590,0,,200,OK,HTTP/1.1,0,text/css,,,562,91169,,,,-1,-1,0,101,61,-1,-1,,163,172.217.22.99,
62,har_a3,2019-12-13T18:59:58.465+02:00,GET,https://www.gstatic.com/recaptcha/releases/mhgGrlTs_PbFQOW4ejlxlxZn/recaptcha__en.js,HTTP/1.1,576,0,,200,OK,HTTP/1.1,0,text/javascript,,,569,92878,,,,-1,-1,1,81,55,-1,-1,,138,172.217.22.99,
63,har_a3,2019-12-13T18:59:58.678+02:00,GET,https://www.google.com/js/bg/OR7fD4X0nTbXS19Wjguw5xQ4LPnKEU8txm7kW1LqVaM.js,HTTP/1.1,568,0,,200,OK,HTTP/1.1,0,text/javascript,,,568,5400,,,,-1,-1,0,86,4,-1,-1,,90,216.58.206.4,
64,har_a3,2019-12-13T18:59:58.770+02:00,GET,https://www.google.com/recaptcha/api2/webworker.js?hl=en&v=mhgGrlTs_PbFQOW4ejlxlxZn,HTTP/1.1,580,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,521,111,,,,-1,-1,0,99,0,-1,-1,,100,216.58.206.4,value
65,har_a3,2019-12-13T18:59:58.822+02:00,GET,https://www.google.com/recaptcha/api2/bframe?hl=en&v=mhgGrlTs_PbFQOW4ejlxlxZn&k=6Lc9qjcUAAAAADTnJq5kJMjN9aD1lxpRLMnCS2TR&cb=dzzhznxe4u0o,HTTP/1.1,694,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,762,1106,,,,0,134,1,88,0,0,108,,225,216.58.206.4,value
66,har_a3,2019-12-13T18:59:58.887+02:00,GET,https://www.gstatic.com/recaptcha/releases/mhgGrlTs_PbFQOW4ejlxlxZn/recaptcha__en.js,HTTP/1.1,474,0,,200,OK,HTTP/1.1,0,text/javascript,,,569,92878,,,,-1,-1,0,96,72,-1,-1,,169,172.217.22.99,
67,har_a3,2019-12-13T18:59:49.741+02:00,CONNECT,https://scontent.ftlv1-2.fna.fbcdn.net,HTTP/1.1,0,0,,0,,unknown,0,,,,-1,-1,,Unable to connect to host,,21,10050,0,0,0,0,-1,,10071,213.57.23.209,
68,har_a3,2019-12-13T19:00:00.005+02:00,GET,https://www.facebook.com/osd.xml,HTTP/1.1,454,0,,200,OK,HTTP/1.1,0,text/xml; charset=UTF-8,,,1184,446,,,,-1,-1,0,176,0,-1,-1,,176,31.13.90.36,
69,har_a3,2019-12-13T19:00:00.014+02:00,GET,https://www.facebook.com/ajax/bootloader-endpoint/?modules=CSSFade&__user=0&__a=1&__dyn=7xe6FomK36Q5E5ObGexe8BWo5O12wAxu13wqovzEdEc8uw9-3K4o5K0Y8hwem0nCq1ewcG0KEswdC1nwlU-cw5MKdwnU1oU881FU2YxW&__csr=&__req=1&__beoa=0&__pc=PHASED%3ADEFAULT&dpr=1&__rev=1001540368&__s=gih0c4%3Ayqoq3a%3A5hg5qv&__hsi=6769969641005362180-0&__spin_r=1001540368&__spin_b=trunk&__spin_t=1576256389,HTTP/1.1,841,0,,200,OK,HTTP/1.1,0,text/javascript; charset=utf-8,,,1191,1215,,,,-1,-1,0,181,0,-1,-1,,182,31.13.90.36,value
70,har_a3,2019-12-13T19:00:00.018+02:00,GET,https://static.xx.fbcdn.net/rsrc.php/yo/r/iRmz9lCMBD2.ico,HTTP/1.1,468,0,,200,OK,HTTP/1.1,0,image/x-icon,,,556,5430,,,,-1,-1,0,91,23,-1,-1,,115,31.13.90.6,
71,har_a3,2019-12-13T19:00:00.551+02:00,GET,https://redirector.gvt1.com/edgedl/chrome/dict/en-us-8-0.bdic,HTTP/1.1,338,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://r2---sn-ivuoxu-ua8s.gvt1.com/edgedl/chrome/dict/en-us-8-0.bdic?cms_redirect=yes&mip=37.142.166.212&mm=28&mn=sn-ivuoxu-ua8s&ms=nvh&mt=1576256302&mv=m&mvi=1&pcm2cms=yes&pl=24&shardbypass=yes,685,433,,,,45,351,0,103,0,0,321,,500,172.217.23.174,
72,har_a3,2019-12-13T19:00:00.578+02:00,POST,https://www.facebook.com/cookie/consent/,HTTP/1.1,613,332,,200,OK,HTTP/1.1,0,application/x-javascript; charset=utf-8,,,781,96,,,,-1,-1,0,284,2,-1,-1,,287,31.13.90.36,
73,har_a3,2019-12-13T19:00:00.592+02:00,POST,https://www.facebook.com/login/device-based/regular/login/?login_attempt=1&lwv=110,HTTP/1.1,856,719,,302,Found,HTTP/1.1,0,"text/html; charset=""utf-8""",,https://www.facebook.com/,1282,0,,,,-1,-1,0,1452,1,-1,-1,,1454,31.13.90.36,value
74,har_a3,2019-12-13T19:00:01.024+02:00,GET,https://r2---sn-ivuoxu-ua8s.gvt1.com/edgedl/chrome/dict/en-us-8-0.bdic?cms_redirect=yes&mip=37.142.166.212&mm=28&mn=sn-ivuoxu-ua8s&ms=nvh&mt=1576256302&mv=m&mvi=1&pcm2cms=yes&pl=24&shardbypass=yes,HTTP/1.1,473,0,,200,OK,HTTP/1.1,0,application/octet-stream,,,779,446642,,,,43,321,0,58,234,0,279,,658,213.57.25.77,value
75,har_a3,2019-12-13T19:00:02.055+02:00,GET,https://www.facebook.com/,HTTP/1.1,796,0,,200,OK,HTTP/1.1,0,"text/html; charset=""utf-8""",,,1421,139618,,,,-1,-1,1,605,2275,-1,-1,,2881,31.13.90.36,
