,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.dns,timings.blocked,timings.connect,timings.receive,timings.wait,timings.ssl,serverIPAddress,comment,time,request.queryString.name
17,,2019-10-12T16:05:20.665+03:00,GET,https://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-6535472412829264&output=html&adk=1812271804&adf=3025194257&lmt=1570885516&plat=1%3A8%2C2%3A8%2C8%3A8%2C9%3A32776%2C16%3A8388608%2C30%3A1048576&guci=2.2.0.0.2.2.0.0&format=0x0&url=https%3A%2F%2Fpokemonshowdown.com%2F&ea=0&flash=0&pra=7&wgl=1&dt=1570885516312&bpp=15&bdt=2080&fdt=595&idt=595&shv=r20191003&cbv=r20190131&saldr=aa&abxe=1&prev_fmts=749x280%2C336x280&nras=1&correlator=3602754232486&frm=20&pv=1&ga_vid=912828463.1570885517&ga_sid=1570885517&ga_hid=60160124&ga_fc=0&iag=0&icsg=10410&dssz=11&mdo=0&mso=0&u_tz=180&u_his=2&u_java=0&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_nplug=0&u_nmime=0&adx=-12245933&ady=-12245933&biw=779&bih=600&scr_x=0&scr_y=0&eid=20199335%2C21064715&oid=3&pvsid=2821173308902392&pem=689&rx=0&eae=2&fc=912&brdim=0%2C0%2C0%2C0%2C800%2C0%2C800%2C600%2C800%2C600&vis=1&rsz=%7C%7Cs%7C&abl=NS&fu=16&bc=31&ifi=2&uci=a!2&fsb=1&dtd=605,HTTP/1.1,1395,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,905,0,,,0,-1,-1,-1,0,102,-1,172.217.21.194,,103,value
18,,2019-10-12T16:05:20.679+03:00,GET,https://googleads.g.doubleclick.net/pagead/id,HTTP/1.1,408,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://googleads.g.doubleclick.net/pagead/id?slf_rd=1,1114,0,,,0,21,0,4345,0,102,4281,172.217.21.194,,4470,
19,,2019-10-12T16:05:20.791+03:00,GET,https://googleads.g.doubleclick.net/pagead/id?slf_rd=1,HTTP/1.1,457,0,,200,OK,HTTP/1.1,0,application/json; charset=UTF-8,,,1282,133,,,0,-1,-1,-1,1,106,-1,172.217.21.194,,108,value
20,,2019-10-12T16:05:20.990+03:00,GET,https://googleads.g.doubleclick.net/pagead/adview?ai=CYCe3ptOhXbC9OYKD-gaO55a4DoPsleVYp5zuwoYKv-EeEAEg4LrbKGD5uvSDnBCgAfmgpOoCyAECqAMByAPJBKoEqQFP0DDqU_g8IoEIczkhXgkwItv0RbQfhIMkgV7hJ6XIf58-2QIeSjuo7O-Vpr2AvhT1qzcljofNTIYmvwGclKPQYd-Kund4fUHHIfTD0NtCkajx_n8HacMwLv1-P4viAAtU7b3KOPSQzyuBlwLpWsUmhZKbl2QPaDGc6fBAyPj1DyXUMZsZ8Djkmh1_48AIzONycx9A7JVrzZUGFqbbIXPu0YCPVB6emVhqwATbgazmswKSBQQIBBgBkgUECAUYBKAGAoAH797blQGoB47OG6gH1ckbqAfB0xuoB4XUG6gHgdQbqAeC1BuoB4bUG6gHhNQbqAeT2BuoB-DTG6gHugaoB9nLG6gHz8wbqAemvhvYBwHyBwQQ3KIU0ggHCIBhEAEYHoAKAdgTDA&sigh=yYR8aCtQkpQ&tpd=AGWhJmuNClWBrJKhXsKQiwq2M-u5e1IwUajQSj_YsSzhoK2BnQ,HTTP/1.1,1947,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,950,0,,,1,-1,-1,-1,0,99,-1,172.217.21.194,,101,value
21,,2019-10-12T16:05:21.224+03:00,GET,https://adservice.google.co.il/adsid/integrator.js?domain=pokemonshowdown.com,HTTP/1.1,397,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,0,30,0,4896,1,112,4863,172.217.21.194,,5041,value
22,,2019-10-12T16:05:23.572+03:00,GET,https://www.google.com/js/bg/aPEEM9OJ9hGaYafZgWtx3Nc8atx1tS31xt75J5Meqn4.js,HTTP/1.1,408,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,5323,,,0,0,0,6617,2,98,6586,172.217.18.4,,6719,
23,,2019-10-12T16:05:24.865+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&a=60160124&t=pageview&_s=1&dl=https%3A%2F%2Fpokemonshowdown.com%2F&ul=en-us&de=UTF-8&dt=Pok%C3%A9mon%20Showdown!%20battle%20simulator&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=IChACAABB~&jid=1113132803&gjid=1355955598&cid=912828463.1570885517&tid=UA-26211653-1&_gid=1539014167.1570885520&_r=1&z=898790256,HTTP/1.1,712,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-26211653-1&cid=912828463.1570885517&jid=1113132803&_gid=1539014167.1570885520&gjid=1355955598&_v=j79&z=898790256,645,418,,,0,-1,-1,-1,0,119,-1,172.217.22.110,,120,value
24,,2019-10-12T16:05:25.051+03:00,GET,https://i.ytimg.com/vi/daw9GoZWWSI/default.jpg,HTTP/1.1,415,0,,200,OK,HTTP/1.1,0,image/jpeg,,,451,4111,,,1,29,0,7493,9,132,7464,172.217.16.182,,7665,
25,,2019-10-12T16:05:25.209+03:00,GET,https://www.youtube.com/generate_204?5doFWg,HTTP/1.1,495,0,,204,No Content,HTTP/1.1,0,,,,211,0,,,108,-1,-1,-1,0,0,-1,172.217.21.238,,109,value
26,,2019-10-12T16:05:25.303+03:00,GET,https://tpc.googlesyndication.com/simgad/12300386176869931161?sqp=4sqPyQQ7QjkqNxABHQAAtEIgASgBMAk4A0DwkwlYAWBfcAKAAQGIAQGdAQAAgD-oAQGwAYCt4gS4AV_FAS2ynT4&rs=AOga4qndcRb3tejIhLh17luQ3pb_Tl9Vug,HTTP/1.1,1451,0,,200,OK,HTTP/1.1,0,image/jpeg,,,519,142345,,,48,19,0,4285,170,106,4256,172.217.16.129,,4630,value
27,,2019-10-12T16:05:25.444+03:00,GET,https://tpc.googlesyndication.com/pagead/js/r20191003/r20110914/abg_lite.js,HTTP/1.1,1299,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,678,11455,,,1,0,0,4414,5,89,4385,172.217.16.129,,4511,
28,,2019-10-12T16:05:25.466+03:00,GET,https://tpc.googlesyndication.com/pagead/js/r20191003/r20110914/client/m_js_controller.js,HTTP/1.1,1313,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,679,14391,,,2,32,0,4430,47,84,4394,172.217.16.129,,4596,
29,,2019-10-12T16:05:25.466+03:00,GET,https://tpc.googlesyndication.com/pagead/js/r20191003/r20110914/client/qs_click_protection.js,HTTP/1.1,1317,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,677,5132,,,2,0,0,1900,2,83,1853,172.217.16.129,,1988,
30,,2019-10-12T16:05:25.543+03:00,GET,https://tpc.googlesyndication.com/pagead/js/r20191003/r20110914/client/window_focus.js,HTTP/1.1,1310,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,678,1044,,,0,-1,-1,-1,0,109,-1,172.217.16.129,,111,
31,,2019-10-12T16:05:25.568+03:00,GET,https://static.doubleclick.net/instream/ad_status.js,HTTP/1.1,385,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,29,,,3,36,0,4326,0,81,4303,216.58.206.6,,4449,
32,,2019-10-12T16:05:25.573+03:00,GET,https://googleads.g.doubleclick.net/pagead/drt/s?v=r20120211,HTTP/1.1,1516,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,609,145,,,0,-1,-1,-1,0,82,-1,172.217.21.194,,84,value
33,,2019-10-12T16:05:25.668+03:00,GET,https://www.google.com/pagead/drt/ui,HTTP/1.1,541,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://googleads.g.doubleclick.net/pagead/drt/si,401,246,,,0,-1,-1,-1,8,100,-1,172.217.18.4,,109,
34,,2019-10-12T16:05:25.777+03:00,GET,https://googleads.g.doubleclick.net/pagead/drt/si,HTTP/1.1,632,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,888,0,,,0,-1,-1,-1,0,87,-1,172.217.21.194,,88,
35,,2019-10-12T16:05:26.618+03:00,GET,https://www.googletagservices.com/activeview/js/current/osd_listener.js?cache=r20110914,HTTP/1.1,1311,0,,200,OK,HTTP/1.1,0,text/javascript,,,708,29542,,,0,-1,-1,-1,43,148,-1,172.217.22.2,,192,value
36,,2019-10-12T16:05:26.669+03:00,GET,https://fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxK.woff2,HTTP/1.1,428,0,,200,OK,HTTP/1.1,0,font/woff2,,,519,15344,,,0,75,0,6791,23,89,6763,172.217.21.227,,6980,
37,,2019-10-12T16:05:27.036+03:00,GET,"https://pagead2.googlesyndication.com/pcs/activeview?xai=AKAOjsu0y6kzxZvenxDu4_3UTmqxbCgAzcsss0Fn36R3k_d3nsHLfJ5DPybF0WhX6gJXFxNV8p5lnxfduZrzpALJ4vZJRGYdsPp9iBBAduqNIEBfv7PfIDk&sai=AMfl-YRj3LFcQ6kZkV9YQKHBIQdGb82d1-d8q-Jfk8hpYP_aGJSkahtp253yC5eCKhB6qPEg2syuw6G9wAT4&sig=Cg0ArKJSzD3s5o2sZo_OEAE&adk=1562799790&tt=-1&bs=779%2C600&mtos=6661,6661,6661,6661,6661&tos=6661,0,0,0,0&p=81,15,361,764&mcvt=6661&rs=1&ht=0&tfs=138&tls=6799&mc=1&lte=1&bas=0&bac=0&met=no&avms=nio&niot_obs=30&niot_cbk=44&md=2&lm=2&rst=1570885516699&dlt=4230&rpt=3419&isd=0&msd=0&oseid=3&xdi=0&ps=779%2C2014&ss=800%2C600&pt=-1&bin=1&deb=1-3-3-88-64-39-212-63-0-0-0&tvt=6778&r=v&id=osdim&vs=4&uc=1&upc=0&tgt=DIV&cl=1&cec=1&clc=1&cac=1&cd=749x193&itpl=4&v=20191011",HTTP/1.1,1991,0,,200,OK,HTTP/1.1,0,image/gif,,,793,42,,,0,0,0,142,0,105,110,172.217.22.2,,248,value
38,,2019-10-12T16:05:27.206+03:00,POST,https://www.youtube.com/youtubei/v1/log_event?alt=json&key=AIzaSyAO_FJ2SlqU8Q4STEHLGCilw_Y9_11qcW8,HTTP/1.1,1098,3057,,200,OK,HTTP/1.1,0,application/json; charset=UTF-8,,,448,48,,,1,-1,-1,-1,0,106,-1,172.217.21.238,,108,value
39,,2019-10-12T16:05:28.017+03:00,GET,https://pagead2.googlesyndication.com/bg/aPEEM9OJ9hGaYafZgWtx3Nc8atx1tS31xt75J5Meqn4.js,HTTP/1.1,1311,0,,200,OK,HTTP/1.1,0,text/javascript,,,738,5323,,,0,-1,-1,-1,12,90,-1,172.217.22.2,,103,
40,,2019-10-12T16:05:28.084+03:00,GET,https://yt3.ggpht.com/-3S_ingbAD6c/AAAAAAAAAAI/AAAAAAAAAAA/5VWHXs6ewR0/s68-c-k-no-mo-rj-c0xffffff/photo.jpg,HTTP/1.1,476,0,,200,OK,HTTP/1.1,0,image/jpeg,,,576,1731,,,0,64,0,7436,0,87,7408,216.58.210.1,,7589,
41,,2019-10-12T16:05:28.889+03:00,GET,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-26211653-1&cid=912828463.1570885517&jid=1113132803&_gid=1539014167.1570885520&gjid=1355955598&_v=j79&z=898790256,HTTP/1.1,615,0,,200,OK,HTTP/1.1,0,image/gif,,,539,35,,,0,23,0,812,0,108,783,74.125.133.157,,946,value
