,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.send,timings.wait,timings.dns,timings.ssl,timings.connect,timings.receive,timings.blocked,serverIPAddress,comment,time,response._error,request.queryString.name
10,,2019-09-28T19:37:11.166+03:00,GET,https://koalabeast.com/images/KoalaBeast.png,HTTP/1.1,494,0,,200,OK,HTTP/1.1,0,image/png,,,348,20583,,,1,369,-1,-1,-1,4,-1,45.32.213.115,,374,,
11,,2019-09-28T19:37:12.065+03:00,GET,https://koalabeast.com/images/background_cropped.jpg,HTTP/1.1,523,0,,200,OK,HTTP/1.1,0,image/jpeg,,,349,22851,,,0,193,-1,-1,-1,165,-1,45.32.213.115,,359,,
12,,2019-09-28T19:37:12.068+03:00,GET,https://koalabeast.com/images/flair.png,HTTP/1.1,510,0,,200,OK,HTTP/1.1,0,image/png,,,348,62916,,,0,383,-1,-1,-1,345,-1,45.32.213.115,,729,,
13,,2019-09-28T19:37:12.873+03:00,POST,https://koalabeast.com/fingerprint,HTTP/1.1,755,35,,200,OK,HTTP/1.1,0,text/plain; charset=utf-8,,,529,2,,,0,202,-1,-1,-1,0,-1,45.32.213.115,,203,,
14,,2019-09-28T19:37:12.885+03:00,GET,https://koalabeast.com/flairlog,HTTP/1.1,640,0,,0,,unknown,0,,,,-1,-1,,,0,0,-1,-1,-1,0,-1,45.32.213.115,,0,No response received,
15,,2019-09-28T19:37:12.940+03:00,GET,https://www.google-analytics.com/analytics.js,HTTP/1.1,360,0,,200,OK,HTTP/1.1,0,text/javascript,,,514,17803,,,1,64,2,1508,1578,68,0,172.217.18.14,,1715,,
16,,2019-09-28T19:37:13.107+03:00,GET,https://www.google-analytics.com/r/collect?v=1&_v=j79&a=1311673985&t=pageview&_s=1&dl=https%3A%2F%2Fkoalabeast.com%2F&ul=en-us&de=UTF-8&dt=TagPro%20Capture%20the%20Flag&sd=24-bit&sr=800x600&vp=779x600&je=0&_u=IEBAAEAB~&jid=1458613511&gjid=1419439256&cid=289076024.1569688633&tid=UA-41030847-1&_gid=531255930.1569688633&_r=1&z=1587475374,HTTP/1.1,687,0,,200,OK,HTTP/1.1,0,image/gif,,,439,35,,,0,73,-1,-1,-1,0,-1,172.217.18.14,,74,,value
17,,2019-09-28T19:37:15.049+03:00,GET,https://www.youtube.com/embed/6tu0JDFueDw,HTTP/1.1,509,0,,200,OK,HTTP/1.1,0,text/html; charset=utf-8,,,1051,20187,,,0,188,35,2885,2953,78,0,172.217.22.46,,3256,,
18,,2019-09-28T19:37:15.321+03:00,GET,https://www.youtube.com/yts/cssbin/www-player-webp-vflV1UhZ6.css,HTTP/1.1,495,0,,200,OK,HTTP/1.1,0,text/css,,,536,55365,,,0,69,-1,-1,-1,227,-1,172.217.22.46,,297,,
19,,2019-09-28T19:37:15.430+03:00,GET,https://www.youtube.com/yts/jsbin/www-embed-player-vfl8wtqBF/www-embed-player.js,HTTP/1.1,496,0,,200,OK,HTTP/1.1,0,text/javascript,,,538,38828,,,1,128,0,75,149,199,0,172.217.22.46,,479,,
20,,2019-09-28T19:37:15.443+03:00,GET,https://www.youtube.com/yts/jsbin/player_ias-vfl-Yp-48/en_US/base.js,HTTP/1.1,484,0,,200,OK,HTTP/1.1,0,text/javascript,,,540,388912,,,1,168,0,78,161,463,0,172.217.22.46,,794,,
21,,2019-09-28T19:37:16.599+03:00,GET,https://www.youtube.com/yts/jsbin/player_ias-vfl-Yp-48/en_US/remote.js,HTTP/1.1,486,0,,200,OK,HTTP/1.1,0,text/javascript,,,539,29942,,,0,74,-1,-1,-1,7,-1,172.217.22.46,,83,,
22,,2019-09-28T19:37:20.230+03:00,GET,https://googleads.g.doubleclick.net/pagead/id,HTTP/1.1,408,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://googleads.g.doubleclick.net/pagead/id?slf_rd=1,1033,0,,,1,81,0,3775,3841,0,0,172.217.22.2,,3925,,
23,,2019-09-28T19:37:20.367+03:00,GET,https://googleads.g.doubleclick.net/pagead/id?slf_rd=1,HTTP/1.1,457,0,,200,OK,HTTP/1.1,0,application/json; charset=UTF-8,,,1201,132,,,0,73,-1,-1,-1,2,-1,172.217.22.2,,76,,value
24,,2019-09-28T19:37:23.177+03:00,GET,https://fonts.gstatic.com/s/roboto/v18/KFOlCnqEu92Fr1MmEU9fBBc4.woff2,HTTP/1.1,432,0,,200,OK,HTTP/1.1,0,font/woff2,,,493,15552,,,1,67,16,6359,6426,67,0,172.217.22.67,,6579,,
25,,2019-09-28T19:37:23.179+03:00,GET,https://fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxK.woff2,HTTP/1.1,428,0,,200,OK,HTTP/1.1,0,font/woff2,,,493,15344,,,0,68,0,6356,6423,11,0,172.217.22.67,,6504,,
26,,2019-09-28T19:37:23.608+03:00,GET,https://www.google.com/js/bg/gLlywAFKraN8jmHUSBHGbDr5JQlW0Plaa0oQTVtTOao.js,HTTP/1.1,408,0,,200,OK,HTTP/1.1,0,text/javascript,,,487,5299,,,1,65,0,7138,7214,3,0,172.217.21.196,,7285,,
27,,2019-09-28T19:37:24.098+03:00,GET,https://www.youtube.com/generate_204?uX68EA,HTTP/1.1,495,0,,204,No Content,HTTP/1.1,0,,,,184,0,,,5,66,-1,-1,-1,0,-1,172.217.22.46,,72,,value
28,,2019-09-28T19:37:25.191+03:00,GET,https://yt3.ggpht.com/-rUWLinC_J5Q/AAAAAAAAAAI/AAAAAAAAAAA/BwfNr0-UsFA/s68-c-k-no-mo-rj-c0xffffff/photo.jpg,HTTP/1.1,476,0,,200,OK,HTTP/1.1,0,image/jpeg,,,547,3492,,,0,72,18,8455,8522,1,0,216.58.210.1,,8614,,
29,,2019-09-28T19:37:25.284+03:00,GET,https://i.ytimg.com/vi/6tu0JDFueDw/maxresdefault.jpg,HTTP/1.1,421,0,,200,OK,HTTP/1.1,0,image/jpeg,,,418,88612,,,0,70,18,8534,8612,247,0,216.58.205.246,,8950,,
30,,2019-09-28T19:37:26.652+03:00,POST,https://www.youtube.com/youtubei/v1/log_event?alt=json&key=AIzaSyAO_FJ2SlqU8Q4STEHLGCilw_Y9_11qcW8,HTTP/1.1,1098,3031,,200,OK,HTTP/1.1,0,application/json; charset=UTF-8,,,421,48,,,1,86,-1,-1,-1,1,-1,172.217.22.46,,88,,value
