,pageref,startedDateTime,request.method,request.url,request.httpVersion,request.headersSize,request.bodySize,request.comment,response.status,response.statusText,response.httpVersion,response.content.size,response.content.mimeType,response.content.comment,response.redirectURL,response.headersSize,response.bodySize,response.comment,timings.comment,timings.blocked,timings.receive,timings.connect,timings.send,timings.wait,timings.dns,timings.ssl,serverIPAddress,comment,time,request.queryString.name,response._error
11,,2019-10-08T18:22:45.531+03:00,GET,https://pagead2.googlesyndication.com/pagead/js/r20191003/r20190131/show_ads_impl.js,HTTP/1.1,404,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,896,87368,,,-1,86,-1,0,110,-1,-1,172.217.22.2,,197,,
12,,2019-10-08T18:22:45.679+03:00,GET,https://www.youtube.com/yts/jsbin/player_ias-vflLF-qe_/en_US/remote.js,HTTP/1.1,486,0,,200,OK,HTTP/1.1,0,text/javascript,,,567,30002,,,-1,11,-1,0,81,-1,-1,172.217.21.238,,93,,
13,,2019-10-08T18:22:47.121+03:00,GET,https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-26211653-1&cid=1473029423.1570548161&jid=173526792&_gid=842238633.1570548161&gjid=1265211625&_v=j79&z=975073214,HTTP/1.1,536,0,,200,OK,HTTP/1.1,0,image/gif,,,539,35,,,0,0,5938,1,90,0,5904,66.102.1.154,,6031,value,
14,,2019-10-08T18:22:50.822+03:00,GET,https://yt3.ggpht.com/-3S_ingbAD6c/AAAAAAAAAAI/AAAAAAAAAAA/5VWHXs6ewR0/s68-c-k-no-mo-rj-c0xffffff/photo.jpg,HTTP/1.1,476,0,,200,OK,HTTP/1.1,0,image/jpeg,,,575,1649,,,0,0,4983,0,100,32,4944,216.58.207.65,,5117,,
15,,2019-10-08T18:22:51.082+03:00,GET,https://static.doubleclick.net/instream/ad_status.js,HTTP/1.1,385,0,,200,OK,HTTP/1.1,0,text/javascript,,,513,29,,,0,0,5445,1,94,33,5421,172.217.16.134,,5576,,
16,,2019-10-08T18:22:52.113+03:00,GET,https://adservice.google.com/adsid/integrator.js?domain=pokemonshowdown.com,HTTP/1.1,395,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,0,0,6577,1,109,37,6547,172.217.22.2,,6725,value,
17,,2019-10-08T18:22:52.166+03:00,GET,https://googleads.g.doubleclick.net/pagead/html/r20191003/r20190131/zrt_lookup.html,HTTP/1.1,556,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,895,7402,,,0,2,6566,1,93,0,6537,172.217.22.2,,6665,,
18,,2019-10-08T18:22:52.198+03:00,GET,https://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-6535472412829264&output=html&h=280&slotname=6218061333&adk=1562799790&adf=2670983925&w=749&fwrn=4&fwrnh=100&lmt=1570548165&rafmt=1&guci=2.2.0.0.2.2.0.0&format=749x280&url=https%3A%2F%2Fpokemonshowdown.com%2F&flash=0&fwr=0&rpe=1&resp_fmts=3&wgl=1&dt=1570548165495&bpp=19&bdt=6964&fdt=415&idt=416&shv=r20191003&cbv=r20190131&saldr=aa&abxe=1&correlator=1095505505034&frm=20&pv=2&ga_vid=1473029423.1570548161&ga_sid=1570548166&ga_hid=900934048&ga_fc=0&iag=0&icsg=2218&dssz=10&mdo=0&mso=0&u_tz=180&u_his=2&u_java=0&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_nplug=0&u_nmime=0&adx=15&ady=81&biw=779&bih=600&scr_x=0&scr_y=0&eid=20199335&oid=3&pvsid=1912219337523405&pem=344&rx=0&eae=0&fc=912&brdim=0%2C0%2C0%2C0%2C800%2C0%2C800%2C600%2C800%2C600&vis=1&rsz=%7C%7CeE%7C&abl=CS&pfx=0&fu=144&bc=31&ifi=1&uci=a!1&xpc=Ppr70TiU5J&p=https%3A//pokemonshowdown.com&dtd=480,HTTP/1.1,1390,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,931,19487,,,0,52,6649,1,318,29,6621,172.217.22.2,,7051,value,
19,,2019-10-08T18:22:52.237+03:00,GET,https://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-6535472412829264&output=html&h=280&slotname=9252930937&adk=3933521251&adf=2668242184&w=336&lmt=1570548166&guci=2.2.0.0.2.2.0.0&format=336x280&url=https%3A%2F%2Fpokemonshowdown.com%2F&flash=0&wgl=1&dt=1570548165514&bpp=10&bdt=6982&fdt=534&idt=534&shv=r20191003&cbv=r20190131&saldr=aa&abxe=1&prev_fmts=749x280&correlator=1095505505034&frm=20&pv=1&ga_vid=1473029423.1570548161&ga_sid=1570548166&ga_hid=900934048&ga_fc=0&iag=0&icsg=10410&dssz=11&mdo=0&mso=0&u_tz=180&u_his=2&u_java=0&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_nplug=0&u_nmime=0&adx=342&ady=1126&biw=779&bih=600&scr_x=0&scr_y=0&eid=20199335&oid=3&pvsid=1912219337523405&pem=344&rx=0&eae=0&fc=912&brdim=0%2C0%2C0%2C0%2C800%2C0%2C800%2C600%2C800%2C600&vis=1&rsz=%7C%7CeEbr%7C&abl=CS&pfx=0&fu=16&bc=31&ifi=2&uci=a!2&xpc=B7RGj7P7sQ&p=https%3A//pokemonshowdown.com&dtd=539,HTTP/1.1,1364,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,929,199,,,0,0,137,1,253,0,108,172.217.22.2,,392,value,
20,,2019-10-08T18:22:52.269+03:00,GET,https://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-6535472412829264&output=html&adk=1812271804&adf=3025194257&lmt=1570548166&plat=1%3A8%2C2%3A8%2C8%3A8%2C9%3A32776%2C16%3A8388608%2C30%3A1048576&guci=2.2.0.0.2.2.0.0&format=0x0&url=https%3A%2F%2Fpokemonshowdown.com%2F&ea=0&flash=0&pra=7&wgl=1&dt=1570548165524&bpp=8&bdt=6992&fdt=563&idt=563&shv=r20191003&cbv=r20190131&saldr=aa&abxe=1&prev_fmts=749x280%2C336x280&nras=1&correlator=1095505505034&frm=20&pv=1&ga_vid=1473029423.1570548161&ga_sid=1570548166&ga_hid=900934048&ga_fc=0&iag=0&icsg=10410&dssz=11&mdo=0&mso=0&u_tz=180&u_his=2&u_java=0&u_h=600&u_w=800&u_ah=600&u_aw=800&u_cd=24&u_nplug=0&u_nmime=0&adx=-12245933&ady=-12245933&biw=779&bih=600&scr_x=0&scr_y=0&eid=20199335&oid=3&pvsid=1912219337523405&pem=344&rx=0&eae=2&fc=912&brdim=0%2C0%2C0%2C0%2C800%2C0%2C800%2C600%2C800%2C600&vis=1&rsz=%7C%7Cs%7C&abl=NS&fu=16&bc=31&ifi=2&uci=a!2&dtd=572,HTTP/1.1,1379,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,905,0,,,-1,0,-1,0,99,-1,-1,172.217.22.2,,100,value,
21,,2019-10-08T18:22:52.918+03:00,GET,https://adservice.google.co.il/adsid/integrator.js?domain=pokemonshowdown.com,HTTP/1.1,397,0,,200,OK,HTTP/1.1,0,application/javascript; charset=UTF-8,,,805,104,,,0,0,7388,0,101,31,7352,172.217.22.98,,7522,value,
22,,2019-10-08T18:22:52.986+03:00,GET,https://i.ytimg.com/vi/daw9GoZWWSI/default.jpg,HTTP/1.1,415,0,,200,OK,HTTP/1.1,0,image/jpeg,,,453,4111,,,0,1,7088,0,102,87,7062,172.217.23.150,,7281,,
23,,2019-10-08T18:22:54.032+03:00,GET,https://fonts.gstatic.com/s/roboto/v18/KFOmCnqEu92Fr1Mu4mxK.woff2,HTTP/1.1,428,0,,200,OK,HTTP/1.1,0,font/woff2,,,520,15344,,,0,29,1124,0,97,26,1096,172.217.16.131,,1278,,
24,,2019-10-08T18:22:54.425+03:00,GET,https://www.google.com/js/bg/HrK92udDk6HoGDmAxeAPjdRCsXObyhVNLwAlDW4jykM.js,HTTP/1.1,408,0,,200,OK,HTTP/1.1,0,text/javascript,,,515,5306,,,0,0,7319,0,92,0,7290,172.217.18.4,,7414,,
25,,2019-10-08T18:22:54.658+03:00,GET,https://www.youtube.com/generate_204?rWdE-g,HTTP/1.1,495,0,,204,No Content,HTTP/1.1,0,,,,211,0,,,-1,0,-1,0,84,-1,-1,172.217.21.238,,85,value,
26,,2019-10-08T18:22:55.795+03:00,POST,https://www.youtube.com/youtubei/v1/log_event?alt=json&key=AIzaSyAO_FJ2SlqU8Q4STEHLGCilw_Y9_11qcW8,HTTP/1.1,995,3053,,200,OK,HTTP/1.1,0,application/json; charset=UTF-8,,,448,48,,,-1,1,-1,0,103,-1,-1,172.217.21.238,,104,value,
27,,2019-10-08T18:22:57.521+03:00,GET,https://googleads.g.doubleclick.net/pagead/adview?ai=CaRMV362cXdX9AYTu3wPvgJuoBYPsleVY9NiX-qAJv-EeEAEg4LrbKGD5uvSDnBCgAfmgpOoCyAECqAMByAPJBKoErwFP0O3_z0OFm1lGOUGC734ZBdLJNu95zGhTk3JPp-zuNm6tpz_FyYwNZzmkzVEAimzJMr93rUcWiGXK5bUaS2ILpwZF2WW0hLH3sFVNO29nHHYTuO0llmcXex3w4X6n2LSHArRZMTlO8Wd4a5docnUrESbIq_qTaL0fytwrphWDQlvdQLgLTggCxjFPLq_NJkxwXho0dCnhlUmAHb3ZH3JWg29M0g_YvFgM2vuWisHhwAS_-MyqlAKSBQQIBBgBkgUECAUYBKAGAoAH797blQGoB47OG6gH1ckbqAfB0xuoB4XUG6gHgdQbqAeC1BuoB4bUG6gHhNQbqAeT2BuoB-DTG6gHugaoB9nLG6gHz8wbqAemvhvYBwHyBwQQpM8U0ggHCIBhEAEYHoAKAdgTDA&sigh=AZqL4OXU9cs&tpd=AGWhJmu8tPZ8HjHsKuEypQcEAcpsYqLvILE_ugGf1Zix1zEANQ,HTTP/1.1,1870,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,1114,0,,,-1,1,-1,0,101,-1,-1,172.217.22.2,,104,value,
28,,2019-10-08T18:22:57.529+03:00,GET,https://www.googletagservices.com/activeview/js/current/osd_listener.js?cache=r20110914,HTTP/1.1,1296,0,,200,OK,HTTP/1.1,0,text/javascript,,,708,29696,,,0,52,5342,0,139,43,5316,172.217.23.98,,5579,value,
29,,2019-10-08T18:22:57.626+03:00,GET,https://www.googletagservices.com/activeview/js/current/osd.js?cb=%2Fr20100101,HTTP/1.1,398,0,,200,OK,HTTP/1.1,0,text/javascript,,,708,29127,,,0,73,140,2,109,0,111,172.217.23.98,,326,value,
30,,2019-10-08T18:22:59.545+03:00,GET,https://tpc.googlesyndication.com/pagead/js/r20191003/r20110914/abg_lite.js,HTTP/1.1,1284,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,678,11455,,,0,16,2035,0,115,25,1999,216.58.207.65,,2194,,
31,,2019-10-08T18:22:59.547+03:00,GET,https://tpc.googlesyndication.com/pagead/js/r20191003/r20110914/client/m_js_controller.js,HTTP/1.1,1298,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,679,14391,,,0,30,2039,0,101,20,2009,216.58.207.65,,2192,,
32,,2019-10-08T18:22:59.553+03:00,GET,https://tpc.googlesyndication.com/pagead/js/r20191003/r20110914/client/qs_click_protection.js,HTTP/1.1,1302,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,678,5132,,,0,0,2045,0,123,27,2015,216.58.207.65,,2198,,
33,,2019-10-08T18:22:59.560+03:00,GET,https://tpc.googlesyndication.com/simgad/2671993393372279051?sqp=4sqPyQQ7QjkqNxABHQAAtEIgASgBMAk4A0DwkwlYAWBfcAKAAQGIAQGdAQAAgD-oAQGwAYCt4gS4AV_FAS2ynT4&rs=AOga4qnnFE7xDYzZzOuZA0b-224QLAQLzA,HTTP/1.1,1435,0,,200,OK,HTTP/1.1,0,image/jpeg,,,520,133286,,,0,166,2037,0,96,0,2007,216.58.207.65,,2301,value,
34,,2019-10-08T18:22:59.565+03:00,GET,https://tpc.googlesyndication.com/pagead/js/r20191003/r20110914/client/window_focus.js,HTTP/1.1,1295,0,,200,OK,HTTP/1.1,0,text/javascript; charset=UTF-8,,,679,1044,,,0,3,2057,0,88,28,2020,216.58.207.65,,2177,,
35,,2019-10-08T18:22:59.704+03:00,GET,https://googleads.g.doubleclick.net/pagead/drt/s?v=r20120211,HTTP/1.1,1501,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,609,145,,,-1,0,-1,0,88,-1,-1,172.217.22.2,,90,value,
36,,2019-10-08T18:22:59.806+03:00,GET,https://www.google.com/pagead/drt/ui,HTTP/1.1,541,0,,302,Found,HTTP/1.1,0,text/html; charset=UTF-8,,https://googleads.g.doubleclick.net/pagead/drt/si,401,246,,,-1,0,-1,0,112,-1,-1,172.217.18.4,,113,,
37,,2019-10-08T18:22:59.922+03:00,GET,https://googleads.g.doubleclick.net/pagead/drt/si,HTTP/1.1,632,0,,200,OK,HTTP/1.1,0,text/html; charset=UTF-8,,,888,0,,,-1,0,-1,0,120,-1,-1,172.217.22.2,,121,,
38,,2019-10-08T18:23:00.094+03:00,GET,https://pagead2.googlesyndication.com/bg/aPEEM9OJ9hGaYafZgWtx3Nc8atx1tS31xt75J5Meqn4.js,HTTP/1.1,1296,0,,0,,unknown,0,,,,-1,-1,,,-1,0,-1,0,0,-1,-1,172.217.22.2,,0,,No response received
